year,state,state_po,county,fips,fips_trimmed,republican_candidate,democrat_candidate,republican_votes,democrat_votes,county_totalvotes,winning candidate,winning party,avg_wage_salary
2000,Alabama,AL,Madison,1089,1089,George W. Bush,Al Gore,62151,48199,113318,George W. Bush,republican,706740
2000,Alabama,AL,Marengo,1091,1091,George W. Bush,Al Gore,4690,4841,9608,Al Gore,democrat,24242
2000,Alabama,AL,Marion,1093,1093,George W. Bush,Al Gore,6910,4600,11756,George W. Bush,republican,405365
2000,Alabama,AL,Marshall,1095,1095,George W. Bush,Al Gore,17084,10381,27989,George W. Bush,republican,283680
2000,Alabama,AL,Mobile,1097,1097,George W. Bush,Al Gore,78162,58640,139745,George W. Bush,republican,28288
2000,Alabama,AL,Monroe,1099,1099,George W. Bush,Al Gore,5153,3741,8951,George W. Bush,republican,479995
2000,Alabama,AL,Montgomery,1101,1101,George W. Bush,Al Gore,38827,40371,80328,Al Gore,democrat,498457
2000,Alabama,AL,Morgan,1103,1103,George W. Bush,Al Gore,25774,16060,42681,George W. Bush,republican,314809
2000,Alabama,AL,Perry,1105,1105,George W. Bush,Al Gore,1732,4020,5787,Al Gore,democrat,192570
2000,Alabama,AL,Pickens,1107,1107,George W. Bush,Al Gore,4306,4143,8540,George W. Bush,republican,65742
2000,Alabama,AL,Pike,1109,1109,George W. Bush,Al Gore,6058,4357,10544,George W. Bush,republican,228490
2000,Alabama,AL,Randolph,1111,1111,George W. Bush,Al Gore,4666,3094,7919,George W. Bush,republican,167288
2000,Alabama,AL,Russell,1113,1113,George W. Bush,Al Gore,6198,8396,14775,Al Gore,democrat,98680
2000,Alabama,AL,St. Clair,1115,1115,George W. Bush,Al Gore,17117,6485,24090,George W. Bush,republican,94016
2000,Alabama,AL,Shelby,1117,1117,George W. Bush,Al Gore,47651,13183,62128,George W. Bush,republican,284184
2000,Alabama,AL,Sumter,1119,1119,George W. Bush,Al Gore,1629,4415,6088,Al Gore,democrat,87020
2000,Alabama,AL,Talladega,1121,1121,George W. Bush,Al Gore,13807,11264,25451,George W. Bush,republican,25878
2000,Alabama,AL,Tallapoosa,1123,1123,George W. Bush,Al Gore,9805,6183,16253,George W. Bush,republican,23519
2000,Alabama,AL,Tuscaloosa,1125,1125,George W. Bush,Al Gore,34003,24614,60114,George W. Bush,republican,28282
2000,Alabama,AL,Walker,1127,1127,George W. Bush,Al Gore,13486,11621,25641,George W. Bush,republican,68709
2000,Alabama,AL,Washington,1129,1129,George W. Bush,Al Gore,4117,3386,7596,George W. Bush,republican,1160516
2000,Alabama,AL,Wilcox,1131,1131,George W. Bush,Al Gore,1661,3444,5126,Al Gore,democrat,60114
2000,Alabama,AL,Winston,1133,1133,George W. Bush,Al Gore,6413,2692,9318,George W. Bush,republican,43476
2000,Arizona,AZ,Apache,4001,4001,George W. Bush,Al Gore,5947,13025,19456,Al Gore,democrat,24675
2000,Arizona,AZ,Cochise,4003,4003,George W. Bush,Al Gore,18180,13360,33241,George W. Bush,republican,27355
2000,Arizona,AZ,Coconino,4005,4005,George W. Bush,Al Gore,17562,20280,40883,Al Gore,democrat,25108
2000,Arizona,AZ,Gila,4007,4007,George W. Bush,Al Gore,9158,7700,17736,George W. Bush,republican,25435
2000,Arizona,AZ,Graham,4009,4009,George W. Bush,Al Gore,6007,3355,9664,George W. Bush,republican,66504
2000,Arizona,AZ,Greenlee,4011,4011,George W. Bush,Al Gore,1619,1216,2960,George W. Bush,republican,36624
2000,Arizona,AZ,La Paz,4012,4012,George W. Bush,Al Gore,2543,1769,4483,George W. Bush,republican,0
2000,Arizona,AZ,Maricopa,4013,4013,George W. Bush,Al Gore,479967,386683,901699,George W. Bush,republican,35503
2000,Arizona,AZ,Mohave,4015,4015,George W. Bush,Al Gore,24386,17470,44141,George W. Bush,republican,23834
2000,Arizona,AZ,Navajo,4017,4017,George W. Bush,Al Gore,12386,11794,25147,George W. Bush,republican,25348
2000,Arizona,AZ,Pima,4019,4019,George W. Bush,Al Gore,124579,147688,287640,Al Gore,democrat,29400
2000,Arizona,AZ,Pinal,4021,4021,George W. Bush,Al Gore,20122,19650,41290,George W. Bush,republican,26890
2000,Arizona,AZ,Santa Cruz,4023,4023,George W. Bush,Al Gore,3344,5233,8893,Al Gore,democrat,54770
2000,Arizona,AZ,Yavapai,4025,4025,George W. Bush,Al Gore,40144,24063,68228,George W. Bush,republican,23959
2000,Arizona,AZ,Yuma,4027,4027,George W. Bush,Al Gore,15708,12055,28652,George W. Bush,republican,0
2000,Arkansas,AR,Arkansas,5001,5001,George W. Bush,Al Gore,3353,2877,6372,George W. Bush,republican,0
2000,Arkansas,AR,Ashley,5003,5003,George W. Bush,Al Gore,3876,4253,8271,Al Gore,democrat,29846
2000,Arkansas,AR,Baxter,5005,5005,George W. Bush,Al Gore,9538,6516,16708,George W. Bush,republican,22776
2000,Arkansas,AR,Benton,5007,5007,George W. Bush,Al Gore,34838,17277,53646,George W. Bush,republican,284364
2000,Arkansas,AR,Boone,5009,5009,George W. Bush,Al Gore,8569,4493,13635,George W. Bush,republican,191064
2000,Arkansas,AR,Bradley,5011,5011,George W. Bush,Al Gore,1793,2122,3979,Al Gore,democrat,44726
2000,Arkansas,AR,Calhoun,5013,5013,George W. Bush,Al Gore,1128,1017,2185,George W. Bush,republican,0
2000,Arkansas,AR,Carroll,5015,5015,George W. Bush,Al Gore,5556,3595,9590,George W. Bush,republican,234264
2000,Arkansas,AR,Chicot,5017,5017,George W. Bush,Al Gore,1564,2820,4452,Al Gore,democrat,19724
2000,Arkansas,AR,Clark,5019,5019,George W. Bush,Al Gore,3776,4661,8626,Al Gore,democrat,250692
2000,Arkansas,AR,Clay,5021,5021,George W. Bush,Al Gore,2254,3527,5900,Al Gore,democrat,0
2000,Arkansas,AR,Cleburne,5023,5023,George W. Bush,Al Gore,5730,4120,10207,George W. Bush,republican,0
2000,Arkansas,AR,Cleveland,5025,5025,George W. Bush,Al Gore,1678,1414,3181,George W. Bush,republican,56940
2000,Arkansas,AR,Columbia,5027,5027,George W. Bush,Al Gore,5018,4003,9307,George W. Bush,republican,196176
2000,Arkansas,AR,Conway,5029,5029,George W. Bush,Al Gore,3545,3496,7234,George W. Bush,republican,24715
2000,Arkansas,AR,Craighead,5031,5031,George W. Bush,Al Gore,12158,12376,25157,Al Gore,democrat,25083
2000,Arkansas,AR,Crawford,5033,5033,George W. Bush,Al Gore,10804,6288,17625,George W. Bush,republican,273306
2000,Arkansas,AR,Crittenden,5035,5035,George W. Bush,Al Gore,5857,7224,13234,Al Gore,democrat,47396
2000,Arkansas,AR,Cross,5037,5037,George W. Bush,Al Gore,3033,3096,6215,Al Gore,democrat,22430
2000,Arkansas,AR,Dallas,5039,5039,George W. Bush,Al Gore,1571,1710,3325,Al Gore,democrat,0
2000,Arkansas,AR,Desha,5041,5041,George W. Bush,Al Gore,1603,2776,4495,Al Gore,democrat,23964
2000,Arkansas,AR,Drew,5043,5043,George W. Bush,Al Gore,2756,3060,5922,Al Gore,democrat,21522
2000,Arkansas,AR,Faulkner,5045,5045,George W. Bush,Al Gore,16055,11950,29216,George W. Bush,republican,26924
2000,Arkansas,AR,Franklin,5047,5047,George W. Bush,Al Gore,3277,2674,6140,George W. Bush,republican,0
2000,Arkansas,AR,Fulton,5049,5049,George W. Bush,Al Gore,2036,1976,4108,George W. Bush,republican,143176
2000,Arkansas,AR,Garland,5051,5051,George W. Bush,Al Gore,19098,15840,35935,George W. Bush,republican,23592
2000,Arkansas,AR,Grant,5053,5053,George W. Bush,Al Gore,3285,2535,6013,George W. Bush,republican,342870
2000,Arkansas,AR,Greene,5055,5055,George W. Bush,Al Gore,5831,6319,12484,Al Gore,democrat,0
2000,Arkansas,AR,Hempstead,5057,5057,George W. Bush,Al Gore,3257,3937,7289,Al Gore,democrat,22105
2000,Arkansas,AR,Hot Spring,5059,5059,George W. Bush,Al Gore,5042,5527,10981,Al Gore,democrat,23767
2000,Arkansas,AR,Howard,5061,5061,George W. Bush,Al Gore,2326,2063,4459,George W. Bush,republican,151627
2000,Arkansas,AR,Independence,5063,5063,George W. Bush,Al Gore,6145,5146,11594,George W. Bush,republican,23782
2000,Arkansas,AR,Izard,5065,5065,George W. Bush,Al Gore,2301,2587,5032,Al Gore,democrat,20492
2000,Arkansas,AR,Jackson,5067,5067,George W. Bush,Al Gore,2280,3651,6072,Al Gore,democrat,0
2000,Arkansas,AR,Jefferson,5069,5069,George W. Bush,Al Gore,8765,17716,27201,Al Gore,democrat,0
2000,Arkansas,AR,Johnson,5071,5071,George W. Bush,Al Gore,3657,3270,7161,George W. Bush,republican,249168
2000,Arkansas,AR,Lafayette,5073,5073,George W. Bush,Al Gore,1538,1806,3383,Al Gore,democrat,129858
2000,Arkansas,AR,Lawrence,5075,5075,George W. Bush,Al Gore,2626,3255,6040,Al Gore,democrat,0
2000,Arkansas,AR,Lee,5077,5077,George W. Bush,Al Gore,1351,2727,4121,Al Gore,democrat,0
2000,Arkansas,AR,Lincoln,5079,5079,George W. Bush,Al Gore,1526,1957,3546,Al Gore,democrat,525912
2000,Arkansas,AR,Little River,5081,5081,George W. Bush,Al Gore,2283,2883,5263,Al Gore,democrat,33929
2000,Arkansas,AR,Logan,5083,5083,George W. Bush,Al Gore,4487,3283,8096,George W. Bush,republican,214080
2000,Arkansas,AR,Lonoke,5085,5085,George W. Bush,Al Gore,10606,6851,17943,George W. Bush,republican,21416
2000,Arkansas,AR,Madison,5087,5087,George W. Bush,Al Gore,3387,2055,5628,George W. Bush,republican,0
2000,Arkansas,AR,Marion,5089,5089,George W. Bush,Al Gore,3402,2233,6015,George W. Bush,republican,0
2000,Arkansas,AR,Miller,5091,5091,George W. Bush,Al Gore,7276,6278,13745,George W. Bush,republican,76551
2000,Arkansas,AR,Mississippi,5093,5093,George W. Bush,Al Gore,5199,7107,12586,Al Gore,democrat,78456
2000,Arkansas,AR,Monroe,5095,5095,George W. Bush,Al Gore,1329,1910,3293,Al Gore,democrat,0
2000,Arkansas,AR,Montgomery,5097,5097,George W. Bush,Al Gore,2128,1438,3739,George W. Bush,republican,0
2000,Arkansas,AR,Nevada,5099,5099,George W. Bush,Al Gore,1796,1867,3738,Al Gore,democrat,70161
2000,Arkansas,AR,Newton,5101,5101,George W. Bush,Al Gore,2529,1205,3927,George W. Bush,republican,98190
2000,Arkansas,AR,Ouachita,5103,5103,George W. Bush,Al Gore,4739,5464,10395,Al Gore,democrat,47562
2000,Arkansas,AR,Perry,5105,5105,George W. Bush,Al Gore,2114,1648,4007,George W. Bush,republican,0
2000,Arkansas,AR,Phillips,5107,5107,George W. Bush,Al Gore,3154,6018,9313,Al Gore,democrat,87204
2000,Arkansas,AR,Pike,5109,5109,George W. Bush,Al Gore,2275,1604,3971,George W. Bush,republican,0
2000,Arkansas,AR,Poinsett,5111,5111,George W. Bush,Al Gore,2988,4102,7235,Al Gore,democrat,21085
2000,Arkansas,AR,Polk,5113,5113,George W. Bush,Al Gore,4600,2315,7193,George W. Bush,republican,234840
2000,Arkansas,AR,Pope,5115,5115,George W. Bush,Al Gore,11244,6669,18422,George W. Bush,republican,78723
2000,Arkansas,AR,Prairie,5117,5117,George W. Bush,Al Gore,1862,1563,3507,George W. Bush,republican,41208
2000,Arkansas,AR,Pulaski,5119,5119,George W. Bush,Al Gore,55866,68320,127151,Al Gore,democrat,219933
2000,Arkansas,AR,Randolph,5121,5121,George W. Bush,Al Gore,2673,3019,5877,Al Gore,democrat,0
2000,Arkansas,AR,St. Francis,5123,5123,George W. Bush,Al Gore,3414,4986,8496,Al Gore,democrat,22779
2000,Arkansas,AR,Saline,5125,5125,George W. Bush,Al Gore,18617,12700,32391,George W. Bush,republican,122315
2000,Arkansas,AR,Scott,5127,5127,George W. Bush,Al Gore,2399,1444,3981,George W. Bush,republican,204699
2000,Arkansas,AR,Searcy,5129,5129,George W. Bush,Al Gore,2610,1229,4058,George W. Bush,republican,16499
2000,Arkansas,AR,Sebastian,5131,5131,George W. Bush,Al Gore,23483,15555,40159,George W. Bush,republican,27201
2000,Arkansas,AR,Sevier,5133,5133,George W. Bush,Al Gore,2111,2095,4293,George W. Bush,republican,63132
2000,Arkansas,AR,Sharp,5135,5135,George W. Bush,Al Gore,3698,3236,7126,George W. Bush,republican,17608
2000,Arkansas,AR,Stone,5137,5137,George W. Bush,Al Gore,2623,2043,4860,George W. Bush,republican,53460
2000,Arkansas,AR,Union,5139,5139,George W. Bush,Al Gore,8647,6261,15609,George W. Bush,republican,483660
2000,Arkansas,AR,Van Buren,5141,5141,George W. Bush,Al Gore,3485,3202,6984,George W. Bush,republican,79764
2000,Arkansas,AR,Washington,5143,5143,George W. Bush,Al Gore,28231,21425,51459,George W. Bush,republican,0
2000,Arkansas,AR,White,5145,5145,George W. Bush,Al Gore,13170,8342,22150,George W. Bush,republican,117995
2000,Arkansas,AR,Woodruff,5147,5147,George W. Bush,Al Gore,898,1699,2651,Al Gore,democrat,22485
2000,Arkansas,AR,Yell,5149,5149,George W. Bush,Al Gore,3223,3062,6479,George W. Bush,republican,20000
2000,California,CA,Alameda,6001,6001,George W. Bush,Al Gore,119279,342889,494336,Al Gore,democrat,45092
2000,California,CA,Alpine,6003,6003,George W. Bush,Al Gore,281,265,586,George W. Bush,republican,18318
2000,California,CA,Amador,6005,6005,George W. Bush,Al Gore,8766,5906,15464,George W. Bush,republican,26317
2000,California,CA,Butte,6007,6007,George W. Bush,Al Gore,45584,31338,83721,George W. Bush,republican,75849
2000,California,CA,Calaveras,6009,6009,George W. Bush,Al Gore,10599,7093,18876,George W. Bush,republican,23632
2000,California,CA,Colusa,6011,6011,George W. Bush,Al Gore,3629,1745,5590,George W. Bush,republican,23456
2000,California,CA,Contra Costa,6013,6013,George W. Bush,Al Gore,141373,224338,381478,Al Gore,democrat,42447
2000,California,CA,Del Norte,6015,6015,George W. Bush,Al Gore,4526,3117,8294,George W. Bush,republican,25116
2000,California,CA,El Dorado,6017,6017,George W. Bush,Al Gore,42045,26220,72136,George W. Bush,republican,29628
2000,California,CA,Fresno,6019,6019,George W. Bush,Al Gore,117342,95059,220835,George W. Bush,republican,26764
2000,California,CA,Glenn,6021,6021,George W. Bush,Al Gore,5795,2498,8711,George W. Bush,republican,24061
2000,California,CA,Humboldt,6023,6023,George W. Bush,Al Gore,23219,24851,55972,Al Gore,democrat,76287
2000,California,CA,Imperial,6025,6025,George W. Bush,Al Gore,12524,15489,28937,Al Gore,democrat,24908
2000,California,CA,Inyo,6027,6027,George W. Bush,Al Gore,4713,2652,7815,George W. Bush,republican,25511
2000,California,CA,Kern,6029,6029,George W. Bush,Al Gore,110663,66003,182308,George W. Bush,republican,28784
2000,California,CA,Kings,6031,6031,George W. Bush,Al Gore,16377,11041,28335,George W. Bush,republican,54110
2000,California,CA,Lake,6033,6033,George W. Bush,Al Gore,8699,10717,20919,Al Gore,democrat,277164
2000,California,CA,Lassen,6035,6035,George W. Bush,Al Gore,7080,2982,10586,George W. Bush,republican,28665
2000,California,CA,Los Angeles,6037,6037,George W. Bush,Al Gore,871930,1710505,2695154,Al Gore,democrat,39728
2000,California,CA,Madera,6039,6039,George W. Bush,Al Gore,20283,11650,33395,George W. Bush,republican,24572
2000,California,CA,Marin,6041,6041,George W. Bush,Al Gore,34872,79135,123155,Al Gore,democrat,42372
2000,California,CA,Mariposa,6043,6043,George W. Bush,Al Gore,4727,2816,8074,George W. Bush,republican,25729
2000,California,CA,Mendocino,6045,6045,George W. Bush,Al Gore,12272,16634,34410,Al Gore,democrat,24711
2000,California,CA,Merced,6047,6047,George W. Bush,Al Gore,26102,22726,50418,George W. Bush,republican,24851
2000,California,CA,Modoc,6049,6049,George W. Bush,Al Gore,2969,945,4107,George W. Bush,republican,22451
2000,California,CA,Mono,6051,6051,George W. Bush,Al Gore,2296,1788,4371,George W. Bush,republican,24303
2000,California,CA,Monterey,6053,6053,George W. Bush,Al Gore,43761,67618,117534,Al Gore,democrat,30150
2000,California,CA,Napa,6055,6055,George W. Bush,Al Gore,20633,28097,51724,Al Gore,democrat,33004
2000,California,CA,Nevada,6057,6057,George W. Bush,Al Gore,25998,17670,47479,George W. Bush,republican,0
2000,California,CA,Orange,6059,6059,George W. Bush,Al Gore,541299,391819,970905,George W. Bush,republican,314584
2000,California,CA,Placer,6061,6061,George W. Bush,Al Gore,69835,42449,117799,George W. Bush,republican,33852
2000,California,CA,Plumas,6063,6063,George W. Bush,Al Gore,6343,3458,10401,George W. Bush,republican,26657
2000,California,CA,Riverside,6065,6065,George W. Bush,Al Gore,231955,202576,451127,George W. Bush,republican,29141
2000,California,CA,Sacramento,6067,6067,George W. Bush,Al Gore,195619,212792,431550,Al Gore,democrat,37971
2000,California,CA,San Benito,6069,6069,George W. Bush,Al Gore,7015,9131,16831,Al Gore,democrat,28366
2000,California,CA,San Bernardino,6071,6071,George W. Bush,Al Gore,221757,214749,454893,George W. Bush,republican,30233
2000,California,CA,San Diego,6073,6073,George W. Bush,Al Gore,475736,437666,958634,George W. Bush,republican,37111
2000,California,CA,San Francisco,6075,6075,George W. Bush,Al Gore,51496,241578,319786,Al Gore,democrat,58246
2000,California,CA,San Joaquin,6077,6077,George W. Bush,Al Gore,81773,79776,167239,George W. Bush,republican,29622
2000,California,CA,San Luis Obispo,6079,6079,George W. Bush,Al Gore,56859,44526,108886,George W. Bush,republican,28147
2000,California,CA,San Mateo,6081,6081,George W. Bush,Al Gore,80296,166757,259399,Al Gore,democrat,67012
2000,California,CA,Santa Barbara,6083,6083,George W. Bush,Al Gore,71493,73411,154974,Al Gore,democrat,32565
2000,California,CA,Santa Clara,6085,6085,George W. Bush,Al Gore,188750,332490,548129,Al Gore,democrat,75029
2000,California,CA,Santa Cruz,6087,6087,George W. Bush,Al Gore,29627,66618,108350,Al Gore,democrat,0
2000,California,CA,Shasta,6089,6089,George W. Bush,Al Gore,43278,20127,66544,George W. Bush,republican,27112
2000,California,CA,Sierra,6091,6091,George W. Bush,Al Gore,1172,540,1847,George W. Bush,republican,54980
2000,California,CA,Siskiyou,6093,6093,George W. Bush,Al Gore,12198,6323,19819,George W. Bush,republican,23355
