date,trump covid,isPartial
2020-05-27,37,False
2020-05-28,29,False
2020-05-29,19,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,19,False
2020-06-02,0,False
2020-06-03,36,False
2020-06-04,18,False
2020-06-05,19,False
2020-06-06,0,False
2020-06-07,0,False
2020-06-08,18,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,19,False
2020-06-12,19,False
2020-06-13,42,False
2020-06-14,0,False
2020-06-15,18,False
2020-06-16,18,False
2020-06-17,0,False
2020-06-18,19,False
2020-06-19,20,False
2020-06-20,43,False
2020-06-21,44,False
2020-06-22,20,False
2020-06-23,20,False
2020-06-24,20,False
2020-06-25,20,False
2020-06-26,40,False
2020-06-27,0,False
2020-06-28,0,False
2020-06-29,100,False
2020-06-30,41,False
2020-07-01,41,False
2020-07-02,20,False
2020-07-03,21,False
2020-07-04,45,False
2020-07-05,23,False
2020-07-06,20,False
2020-07-07,0,False
2020-07-08,42,False
2020-07-09,51,False
2020-07-10,31,False
2020-07-11,22,False
