date,trump covid,isPartial
2020-05-27,0,False
2020-05-28,0,False
2020-05-29,41,False
2020-05-30,94,False
2020-05-31,0,False
2020-06-01,39,False
2020-06-02,0,False
2020-06-03,0,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,0,False
2020-06-07,0,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,40,False
2020-06-12,42,False
2020-06-13,0,False
2020-06-14,47,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,0,False
2020-06-19,0,False
2020-06-20,93,False
2020-06-21,0,False
2020-06-22,40,False
2020-06-23,0,False
2020-06-24,42,False
2020-06-25,0,False
2020-06-26,0,False
2020-06-27,48,False
2020-06-28,46,False
2020-06-29,84,False
2020-06-30,83,False
2020-07-01,0,False
2020-07-02,0,False
2020-07-03,0,False
2020-07-04,53,False
2020-07-05,0,False
2020-07-06,0,False
2020-07-07,42,False
2020-07-08,86,False
2020-07-09,42,False
2020-07-10,0,False
2020-07-11,100,False
