date,vote romney,isPartial
2012-08-06,0,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,0,False
2012-08-10,0,False
2012-08-11,0,False
2012-08-12,0,False
2012-08-13,0,False
2012-08-14,0,False
2012-08-15,0,False
2012-08-16,0,False
2012-08-17,0,False
2012-08-18,29,False
2012-08-19,30,False
2012-08-20,0,False
2012-08-21,0,False
2012-08-22,24,False
2012-08-23,0,False
2012-08-24,0,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,0,False
2012-08-28,0,False
2012-08-29,75,False
2012-08-30,0,False
2012-08-31,26,False
2012-09-01,0,False
2012-09-02,0,False
2012-09-03,0,False
2012-09-04,0,False
2012-09-05,24,False
2012-09-06,0,False
2012-09-07,0,False
2012-09-08,0,False
2012-09-09,0,False
2012-09-10,24,False
2012-09-11,27,False
2012-09-12,0,False
2012-09-13,0,False
2012-09-14,0,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,0,False
2012-09-18,29,False
2012-09-19,29,False
2012-09-20,0,False
2012-09-21,30,False
2012-09-22,0,False
2012-09-23,0,False
2012-09-24,29,False
2012-09-25,0,False
2012-09-26,0,False
2012-09-27,0,False
2012-09-28,0,False
2012-09-29,0,False
2012-09-30,0,False
2012-10-01,0,False
2012-10-02,0,False
2012-10-03,30,False
2012-10-04,30,False
2012-10-05,31,False
2012-10-06,0,False
2012-10-07,0,False
2012-10-08,0,False
2012-10-09,28,False
2012-10-10,0,False
2012-10-11,0,False
2012-10-12,0,False
2012-10-13,0,False
2012-10-14,0,False
2012-10-15,55,False
2012-10-16,23,False
2012-10-17,63,False
2012-10-18,22,False
2012-10-19,23,False
2012-10-20,52,False
2012-10-21,26,False
2012-10-22,21,False
2012-10-23,0,False
2012-10-24,0,False
2012-10-25,43,False
2012-10-26,45,False
2012-10-27,27,False
2012-10-28,0,False
2012-10-29,0,False
2012-10-30,0,False
2012-10-31,28,False
2012-11-01,29,False
2012-11-02,0,False
2012-11-03,100,False
2012-11-04,97,False
2012-11-05,26,False
2012-11-06,75,False
