date,biden covid,isPartial
2020-05-27,18,False
2020-05-28,0,False
2020-05-29,18,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,18,False
2020-06-02,27,False
2020-06-03,17,False
2020-06-04,18,False
2020-06-05,0,False
2020-06-06,21,False
2020-06-07,0,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,18,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,0,False
2020-06-14,22,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,19,False
2020-06-18,38,False
2020-06-19,0,False
2020-06-20,21,False
2020-06-21,22,False
2020-06-22,39,False
2020-06-23,19,False
2020-06-24,19,False
2020-06-25,58,False
2020-06-26,100,False
2020-06-27,32,False
2020-06-28,42,False
2020-06-29,19,False
2020-06-30,39,False
2020-07-01,20,False
2020-07-02,20,False
2020-07-03,21,False
2020-07-04,24,False
2020-07-05,0,False
2020-07-06,19,False
2020-07-07,57,False
2020-07-08,19,False
2020-07-09,20,False
2020-07-10,20,False
2020-07-11,22,False
