date,biden covid,isPartial
2020-05-27,0,False
2020-05-28,0,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,0,False
2020-06-02,0,False
2020-06-03,0,False
2020-06-04,0,False
2020-06-05,30,False
2020-06-06,36,False
2020-06-07,0,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,30,False
2020-06-12,0,False
2020-06-13,0,False
2020-06-14,37,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,0,False
2020-06-19,0,False
2020-06-20,0,False
2020-06-21,36,False
2020-06-22,31,False
2020-06-23,31,False
2020-06-24,64,False
2020-06-25,65,False
2020-06-26,0,False
2020-06-27,37,False
2020-06-28,36,False
2020-06-29,31,False
2020-06-30,0,False
2020-07-01,65,False
2020-07-02,33,False
2020-07-03,35,False
2020-07-04,40,False
2020-07-05,0,False
2020-07-06,0,False
2020-07-07,0,False
2020-07-08,32,False
2020-07-09,0,False
2020-07-10,100,False
2020-07-11,0,False
