date,biden covid,isPartial
2020-05-27,0,False
2020-05-28,0,False
2020-05-29,0,False
2020-05-30,52,False
2020-05-31,54,False
2020-06-01,46,False
2020-06-02,0,False
2020-06-03,0,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,51,False
2020-06-07,52,False
2020-06-08,42,False
2020-06-09,43,False
2020-06-10,45,False
2020-06-11,0,False
2020-06-12,48,False
2020-06-13,56,False
2020-06-14,0,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,46,False
2020-06-19,47,False
2020-06-20,0,False
2020-06-21,0,False
2020-06-22,47,False
2020-06-23,47,False
2020-06-24,47,False
2020-06-25,47,False
2020-06-26,100,False
2020-06-27,56,False
2020-06-28,0,False
2020-06-29,0,False
2020-06-30,0,False
2020-07-01,48,False
2020-07-02,0,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,0,False
2020-07-06,93,False
2020-07-07,0,False
2020-07-08,73,False
2020-07-09,49,False
2020-07-10,50,False
2020-07-11,0,False
