date,trump immigration,isPartial
2020-05-27,19,False
2020-05-28,0,False
2020-05-29,19,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,0,False
2020-06-02,19,False
2020-06-03,0,False
2020-06-04,0,False
2020-06-05,18,False
2020-06-06,0,False
2020-06-07,0,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,0,False
2020-06-12,20,False
2020-06-13,0,False
2020-06-14,24,False
2020-06-15,19,False
2020-06-16,38,False
2020-06-17,19,False
2020-06-18,0,False
2020-06-19,20,False
2020-06-20,34,False
2020-06-21,0,False
2020-06-22,100,False
2020-06-23,30,False
2020-06-24,60,False
2020-06-25,20,False
2020-06-26,21,False
2020-06-27,0,False
2020-06-28,23,False
2020-06-29,0,False
2020-06-30,0,False
2020-07-01,0,False
2020-07-02,21,False
2020-07-03,23,False
2020-07-04,0,False
2020-07-05,0,False
2020-07-06,0,False
2020-07-07,0,False
2020-07-08,21,False
2020-07-09,21,False
2020-07-10,32,False
2020-07-11,50,False
