date,biden immigration,isPartial
2020-05-27,0,False
2020-05-28,68,False
2020-05-29,79,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,0,False
2020-06-02,0,False
2020-06-03,68,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,84,False
2020-06-07,86,False
2020-06-08,68,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,0,False
2020-06-14,0,False
2020-06-15,83,False
2020-06-16,0,False
2020-06-17,82,False
2020-06-18,0,False
2020-06-19,0,False
2020-06-20,100,False
2020-06-21,0,False
2020-06-22,84,False
2020-06-23,83,False
2020-06-24,80,False
2020-06-25,0,False
2020-06-26,0,False
2020-06-27,95,False
2020-06-28,0,False
2020-06-29,84,False
2020-06-30,0,False
