date,biden job,isPartial
2020-05-27,51,False
2020-05-28,31,False
2020-05-29,42,False
2020-05-30,36,False
2020-05-31,48,False
2020-06-01,0,False
2020-06-02,32,False
2020-06-03,20,False
2020-06-04,100,False
2020-06-05,61,False
2020-06-06,0,False
2020-06-07,72,False
2020-06-08,40,False
2020-06-09,40,False
2020-06-10,41,False
2020-06-11,41,False
2020-06-12,43,False
2020-06-13,25,False
2020-06-14,0,False
2020-06-15,32,False
2020-06-16,31,False
2020-06-17,32,False
2020-06-18,22,False
2020-06-19,33,False
2020-06-20,25,False
2020-06-21,25,False
2020-06-22,54,False
2020-06-23,22,False
2020-06-24,44,False
2020-06-25,22,False
2020-06-26,45,False
2020-06-27,0,False
2020-06-28,36,False
2020-06-29,44,False
2020-06-30,22,False
2020-07-01,44,False
2020-07-02,22,False
2020-07-03,59,False
2020-07-04,27,False
2020-07-05,54,False
2020-07-06,22,False
2020-07-07,55,False
2020-07-08,78,False
2020-07-09,33,False
2020-07-10,34,False
2020-07-11,25,False
