date,obama health,isPartial
2012-08-06,27,False
2012-08-07,26,False
2012-08-08,26,False
2012-08-09,52,False
2012-08-10,0,False
2012-08-11,30,False
2012-08-12,0,False
2012-08-13,26,False
2012-08-14,24,False
2012-08-15,46,False
2012-08-16,23,False
2012-08-17,0,False
2012-08-18,0,False
2012-08-19,0,False
2012-08-20,23,False
2012-08-21,23,False
2012-08-22,0,False
2012-08-23,34,False
2012-08-24,0,False
2012-08-25,25,False
2012-08-26,0,False
2012-08-27,0,False
2012-08-28,25,False
2012-08-29,27,False
2012-08-30,0,False
2012-08-31,43,False
2012-09-01,0,False
2012-09-02,0,False
2012-09-03,31,False
2012-09-04,27,False
2012-09-05,26,False
2012-09-06,92,False
2012-09-07,55,False
2012-09-08,31,False
2012-09-09,30,False
2012-09-10,0,False
2012-09-11,27,False
2012-09-12,27,False
2012-09-13,28,False
2012-09-14,43,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,54,False
2012-09-18,53,False
2012-09-19,27,False
2012-09-20,68,False
2012-09-21,43,False
2012-09-22,0,False
2012-09-23,0,False
2012-09-24,28,False
2012-09-25,27,False
2012-09-26,0,False
2012-09-27,0,False
2012-09-28,0,False
2012-09-29,33,False
2012-09-30,0,False
2012-10-01,80,False
2012-10-02,26,False
2012-10-03,26,False
2012-10-04,26,False
2012-10-05,55,False
2012-10-06,64,False
2012-10-07,0,False
2012-10-08,52,False
2012-10-09,26,False
2012-10-10,40,False
2012-10-11,54,False
2012-10-12,57,False
2012-10-13,0,False
2012-10-14,0,False
2012-10-15,26,False
2012-10-16,0,False
2012-10-17,79,False
2012-10-18,53,False
2012-10-19,42,False
2012-10-20,50,False
2012-10-21,0,False
2012-10-22,39,False
2012-10-23,25,False
2012-10-24,100,False
2012-10-25,51,False
2012-10-26,53,False
2012-10-27,32,False
2012-10-28,32,False
2012-10-29,51,False
2012-10-30,26,False
2012-10-31,27,False
2012-11-01,70,False
2012-11-02,27,False
2012-11-03,47,False
2012-11-04,60,False
2012-11-05,63,False
2012-11-06,62,False
