date,obama health,isPartial
2012-08-06,0,False
2012-08-07,0,False
2012-08-08,100,False
2012-08-09,33,False
2012-08-10,68,False
2012-08-11,0,False
2012-08-12,0,False
2012-08-13,0,False
2012-08-14,34,False
2012-08-15,0,False
2012-08-16,35,False
2012-08-17,37,False
2012-08-18,0,False
2012-08-19,43,False
2012-08-20,34,False
2012-08-21,32,False
2012-08-22,65,False
2012-08-23,0,False
2012-08-24,0,False
2012-08-25,41,False
2012-08-26,0,False
2012-08-27,33,False
2012-08-28,34,False
2012-08-29,0,False
2012-08-30,34,False
2012-08-31,53,False
2012-09-01,0,False
2012-09-02,0,False
2012-09-03,0,False
2012-09-04,0,False
2012-09-05,63,False
2012-09-06,0,False
2012-09-07,33,False
2012-09-08,0,False
2012-09-09,79,False
2012-09-10,31,False
2012-09-11,31,False
2012-09-12,63,False
2012-09-13,0,False
2012-09-14,0,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,30,False
2012-09-18,30,False
2012-09-19,48,False
2012-09-20,66,False
2012-09-21,0,False
2012-09-22,0,False
2012-09-23,0,False
2012-09-24,32,False
2012-09-25,0,False
2012-09-26,0,False
2012-09-27,0,False
2012-09-28,66,False
2012-09-29,0,False
2012-09-30,0,False
2012-10-01,0,False
2012-10-02,0,False
2012-10-03,32,False
2012-10-04,33,False
2012-10-05,0,False
2012-10-06,0,False
2012-10-07,0,False
2012-10-08,65,False
2012-10-09,33,False
2012-10-10,0,False
2012-10-11,0,False
2012-10-12,35,False
2012-10-13,45,False
2012-10-14,0,False
2012-10-15,31,False
2012-10-16,0,False
2012-10-17,32,False
2012-10-18,65,False
2012-10-19,52,False
2012-10-20,0,False
2012-10-21,0,False
2012-10-22,0,False
2012-10-23,63,False
2012-10-24,0,False
2012-10-25,30,False
2012-10-26,46,False
2012-10-27,37,False
2012-10-28,0,False
2012-10-29,0,False
2012-10-30,0,False
2012-10-31,0,False
2012-11-01,0,False
2012-11-02,33,False
2012-11-03,0,False
2012-11-04,0,False
2012-11-05,30,False
2012-11-06,45,False
