date,obama health,isPartial
2012-08-06,0,False
2012-08-07,0,False
2012-08-08,30,False
2012-08-09,29,False
2012-08-10,30,False
2012-08-11,38,False
2012-08-12,38,False
2012-08-13,0,False
2012-08-14,0,False
2012-08-15,0,False
2012-08-16,30,False
2012-08-17,0,False
2012-08-18,0,False
2012-08-19,39,False
2012-08-20,29,False
2012-08-21,0,False
2012-08-22,30,False
2012-08-23,31,False
2012-08-24,0,False
2012-08-25,57,False
2012-08-26,0,False
2012-08-27,0,False
2012-08-28,57,False
2012-08-29,0,False
2012-08-30,30,False
2012-08-31,32,False
2012-09-01,38,False
2012-09-02,0,False
2012-09-03,0,False
2012-09-04,0,False
2012-09-05,42,False
2012-09-06,41,False
2012-09-07,29,False
2012-09-08,33,False
2012-09-09,66,False
2012-09-10,41,False
2012-09-11,54,False
2012-09-12,27,False
2012-09-13,27,False
2012-09-14,0,False
2012-09-15,35,False
2012-09-16,34,False
2012-09-17,26,False
2012-09-18,23,False
2012-09-19,0,False
2012-09-20,37,False
2012-09-21,0,False
2012-09-22,0,False
2012-09-23,0,False
2012-09-24,0,False
2012-09-25,26,False
2012-09-26,0,False
2012-09-27,54,False
2012-09-28,0,False
2012-09-29,36,False
2012-09-30,34,False
2012-10-01,0,False
2012-10-02,25,False
2012-10-03,51,False
2012-10-04,65,False
2012-10-05,0,False
2012-10-06,0,False
2012-10-07,65,False
2012-10-08,27,False
2012-10-09,53,False
2012-10-10,53,False
2012-10-11,0,False
2012-10-12,58,False
2012-10-13,36,False
2012-10-14,0,False
2012-10-15,25,False
2012-10-16,79,False
2012-10-17,27,False
2012-10-18,0,False
2012-10-19,0,False
2012-10-20,0,False
2012-10-21,69,False
2012-10-22,0,False
2012-10-23,51,False
2012-10-24,26,False
2012-10-25,26,False
2012-10-26,27,False
2012-10-27,0,False
2012-10-28,30,False
2012-10-29,0,False
2012-10-30,51,False
2012-10-31,26,False
2012-11-01,0,False
2012-11-02,82,False
2012-11-03,0,False
2012-11-04,95,False
2012-11-05,100,False
2012-11-06,38,False
