date,obama health,isPartial
2012-08-06,0,False
2012-08-07,0,False
2012-08-08,57,False
2012-08-09,0,False
2012-08-10,0,False
2012-08-11,79,False
2012-08-12,0,False
2012-08-13,0,False
2012-08-14,0,False
2012-08-15,0,False
2012-08-16,0,False
2012-08-17,0,False
2012-08-18,0,False
2012-08-19,0,False
2012-08-20,0,False
2012-08-21,0,False
2012-08-22,52,False
2012-08-23,0,False
2012-08-24,0,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,0,False
2012-08-28,0,False
2012-08-29,0,False
2012-08-30,0,False
2012-08-31,0,False
2012-09-01,0,False
2012-09-02,0,False
2012-09-03,0,False
2012-09-04,0,False
2012-09-05,49,False
2012-09-06,0,False
2012-09-07,0,False
2012-09-08,0,False
2012-09-09,0,False
2012-09-10,49,False
2012-09-11,0,False
2012-09-12,48,False
2012-09-13,0,False
2012-09-14,51,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,47,False
2012-09-18,0,False
2012-09-19,0,False
2012-09-20,0,False
2012-09-21,0,False
2012-09-22,62,False
2012-09-23,0,False
2012-09-24,49,False
2012-09-25,0,False
2012-09-26,80,False
2012-09-27,55,False
2012-09-28,0,False
2012-09-29,75,False
2012-09-30,0,False
2012-10-01,0,False
2012-10-02,0,False
2012-10-03,96,False
2012-10-04,0,False
2012-10-05,0,False
2012-10-06,0,False
2012-10-07,0,False
2012-10-08,50,False
2012-10-09,0,False
2012-10-10,0,False
2012-10-11,0,False
2012-10-12,0,False
2012-10-13,61,False
2012-10-14,58,False
2012-10-15,0,False
2012-10-16,47,False
2012-10-17,46,False
2012-10-18,0,False
2012-10-19,50,False
2012-10-20,0,False
2012-10-21,0,False
2012-10-22,0,False
2012-10-23,0,False
2012-10-24,0,False
2012-10-25,46,False
2012-10-26,0,False
2012-10-27,0,False
2012-10-28,61,False
2012-10-29,45,False
2012-10-30,91,False
2012-10-31,0,False
2012-11-01,100,False
2012-11-02,50,False
2012-11-03,63,False
2012-11-04,0,False
2012-11-05,94,False
2012-11-06,0,False
