date,obama health,isPartial
2012-08-06,0,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,0,False
2012-08-10,41,False
2012-08-11,49,False
2012-08-12,49,False
2012-08-13,40,False
2012-08-14,0,False
2012-08-15,0,False
2012-08-16,0,False
2012-08-17,0,False
2012-08-18,0,False
2012-08-19,87,False
2012-08-20,36,False
2012-08-21,0,False
2012-08-22,0,False
2012-08-23,36,False
2012-08-24,37,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,0,False
2012-08-28,37,False
2012-08-29,0,False
2012-08-30,0,False
2012-08-31,38,False
2012-09-01,0,False
2012-09-02,68,False
2012-09-03,0,False
2012-09-04,36,False
2012-09-05,36,False
2012-09-06,0,False
2012-09-07,0,False
2012-09-08,0,False
2012-09-09,0,False
2012-09-10,0,False
2012-09-11,40,False
2012-09-12,43,False
2012-09-13,0,False
2012-09-14,46,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,44,False
2012-09-18,0,False
2012-09-19,0,False
2012-09-20,42,False
2012-09-21,0,False
2012-09-22,0,False
2012-09-23,0,False
2012-09-24,0,False
2012-09-25,63,False
2012-09-26,87,False
2012-09-27,44,False
2012-09-28,0,False
2012-09-29,0,False
2012-09-30,56,False
2012-10-01,87,False
2012-10-02,43,False
2012-10-03,43,False
2012-10-04,43,False
2012-10-05,0,False
2012-10-06,0,False
2012-10-07,0,False
2012-10-08,43,False
2012-10-09,41,False
2012-10-10,40,False
2012-10-11,40,False
2012-10-12,0,False
2012-10-13,0,False
2012-10-14,0,False
2012-10-15,0,False
2012-10-16,0,False
2012-10-17,31,False
2012-10-18,0,False
2012-10-19,0,False
2012-10-20,0,False
2012-10-21,0,False
2012-10-22,0,False
2012-10-23,31,False
2012-10-24,31,False
2012-10-25,32,False
2012-10-26,33,False
2012-10-27,0,False
2012-10-28,0,False
2012-10-29,31,False
2012-10-30,35,False
2012-10-31,0,False
2012-11-01,0,False
2012-11-02,100,False
2012-11-03,0,False
2012-11-04,0,False
2012-11-05,38,False
2012-11-06,0,False
