4,9
36,41
35,40
34,39
21,26
14,19
24,29
15,20
47,52
33,38
16,21
4,9
4,9
0,5
15,20
0,5
0,5
0,5
39,44
15,20
28,33
19,24
15,20
61,66
77,82
37,42
33,38
15,20
4,9
11,16
27,32
0,5
45,50
18,23
32,37
27,32
19,24
16,21
0,5
13,18
16,21
66,71
17,22
19,24
20,25
0,5
15,20
79,84
8,13
0,5
15,20
17,22
28,33
16,21
20,25
83,88
39,44
4,9
0,5
23,28
42,47
0,5
0,5
0,5
34,39
31,36
44,49
34,39
4,9
21,26
19,24
38,43
44,49
34,39
0,5
0,5
23,28
20,25
19,24
0,5
24,29
10,15
10,15
24,29
34,39
40,45
0,5
13,18
4,9
0,5
15,20
0,5
48,53
42,47
0,5
69,74
0,5
23,28
0,5
0,5
0,5
0,5
0,5
19,24
35,40
11,16
18,23
40,45
0,5
0,5
16,21
20,25
23,28
41,46
0,5
25,30
19,24
35,40
4,9
74,79
21,26
50,55
83,88
23,28
4,9
0,5
0,5
40,45
54,59
26,31
0,5
24,29
30,35
24,29
13,18
47,52
12,17
12,17
48,53
26,31
41,46
41,46
19,24
70,75
28,33
4,9
0,5
22,27
94,99
0,5
53,58
0,5
27,32
0,5
0,5
15,20
0,5
39,44
19,24
68,73
0,5
87,92
21,26
16,21
29,34
63,68
0,5
0,5
37,42
79,84
20,25
0,5
13,18
20,25
64,69
13,18
17,22
0,5
72,77
45,50
4,9
12,17
55,60
76,81
0,5
0,5
48,53
45,50
26,31
0,5
30,35
16,21
37,42
35,40
49,54
24,29
54,59
10,15
33,38
35,40
0,5
12,17
33,38
40,45
0,5
25,30
25,30
75,80
70,75
0,5
16,21
0,5
13,18
25,30
51,56
0,5
15,20
0,5
15,20
19,24
29,34
21,26
0,5
34,39
38,43
42,47
16,21
0,5
35,40
41,46
4,9
16,21
25,30
18,23
39,44
36,41
0,5
27,32
0,5
48,53
52,57
11,16
26,31
36,41
72,77
42,47
