date,trump health,isPartial
2020-05-27,7,False
2020-05-28,8,False
2020-05-29,25,False
2020-05-30,21,False
2020-05-31,10,False
2020-06-01,11,False
2020-06-02,10,False
2020-06-03,13,False
2020-06-04,13,False
2020-06-05,7,False
2020-06-06,5,False
2020-06-07,10,False
2020-06-08,8,False
2020-06-09,7,False
2020-06-10,8,False
2020-06-11,7,False
2020-06-12,17,False
2020-06-13,61,False
2020-06-14,100,False
2020-06-15,86,False
2020-06-16,47,False
2020-06-17,28,False
2020-06-18,24,False
2020-06-19,16,False
2020-06-20,17,False
2020-06-21,16,False
2020-06-22,11,False
2020-06-23,14,False
2020-06-24,13,False
2020-06-25,11,False
2020-06-26,14,False
2020-06-27,11,False
2020-06-28,12,False
2020-06-29,10,False
2020-06-30,11,False
