headlines,terms,dates
trump is pushing to eliminate payroll taxes. it could doom social security,trump,2020-06-03
trump meets with top campaign aides as reelection fears rise,trump,2020-06-04
why trump wants the g7 to look more like a g11,trump,2020-06-04
retired marine gen. john allen: trump's threats of military force may be 'the beginning of the end of the american experiment',trump,2020-06-04
"behind the fences, trump may be missing a national moment",trump,2020-06-05
exclusive: he quit his facebook job because of zuckerberg's inaction on trump's posts,trump,2020-06-05
flash bangs and fury: behind the fortress walls in a defining week for trump and the country,trump,2020-06-06
trump's most self-defeating move,trump,2020-06-07
trump is reading out of the middle east autocrats' playbook,trump,2020-06-07
the stock market no longer cares whether trump wins,trump,2020-06-10
can donald trump still win?,trump,2020-06-10
"5 things to know for june 10: police reform, trump, election, coronavirus, nigeria",trump,2020-06-10
trump's va is treating veterans with unproven drug,trump,2020-06-10
fauci voices support for world health organization after trump terminates us relationship,trump,2020-06-11
trump campaign says it can't be held liable if rally attendees contract coronavirus,trump,2020-06-11
america's military leaders take a stand as trump remains silent on racial inequality,trump,2020-06-12
"donald trump not 'the right president' to handle current situation in the us, says african american soccer star",trump,2020-06-12
trump is kicking the lgbtq community while we're down,trump,2020-06-13
the problem trump's west point speech can't fix,trump,2020-06-13
revisiting lady bird johnson's whistle-stop tour and what melania trump isn't using the first lady's office for,trump,2020-06-13
top trump official says people attending president's rally should 'probably' wear face masks,trump,2020-06-14
top trump official says people attending president's rally should 'probably' wear face masks,trump,2020-06-14
"start your monday smart: flag day, refugees, solstice, juneteenth, trump's birthday",trump,2020-06-14
republicans urge trump not to terminate relationship with world health organization,trump,2020-06-15
tulsa health director wishes trump would postpone rally because of spike in covid-19 cases,trump,2020-06-15
kamala harris: the fight continues to protect americans' health care from trump,trump,2020-06-17
trump-appointed ceo absent as top democrat warns of firings at the agency behind voice of america,trump,2020-06-17
"donald trump, the stock market cheerleader-in-chief is back",trump,2020-06-17
trump's first pandemic-era foreign visitor is polish president looking for an electoral boost,trump,2020-06-17
john roberts defies trump and conservatives with another legacy decision,trump,2020-06-18
bolton book makes clear the dangers of a second trump term,trump,2020-06-18
retired generals pull support for trump nominee after offensive tweets uncovered by cnn,trump,2020-06-18
retired generals pull support for trump nominee after offensive tweets uncovered by cnn,trump,2020-06-18
how risky is it to attend a trump campaign rally during a pandemic?,trump,2020-06-19
trump can't stop talking about that west point ramp,trump,2020-06-19
trump threatens protesters ahead of tulsa rally,trump,2020-06-19
trump adds uncertainty to future of daca participants,trump,2020-06-19
how trump plans to turn around his losing campaign,trump,2020-06-19
trump made 192 false claims from may 4 through june 7,trump,2020-06-19
trump holds first campaign rally since coronavirus pandemic began,trump,2020-06-20
trump holds first campaign rally since coronavirus pandemic began,trump,2020-06-20
trump tempts fate with tulsa rally during pandemic and a national racial reckoning,trump,2020-06-20
fact check: trump's tulsa rally littered with familiar false claims,trump,2020-06-21
white house official dismissed the president's coronavirus testing comment as 'tongue in cheek.' but it wasn't trump's first time.,trump,2020-06-21
"while trump wages a political war, dangerous conflicts unfold in asia",trump,2020-06-21
trump's 'kidding' on testing exposes his negligence as virus spikes,trump,2020-06-22
k-pop fans deserve credit for trump rally activism,trump,2020-06-22
two more trump staffers test positive for coronavirus after tulsa rally,trump,2020-06-22
tech companies slam trump's executive order restricting work visas,trump,2020-06-23
it's too early to conclude that trump has lost his magic,trump,2020-06-23
trump's first foreign visitor amid pandemic is poland's nationalist president,trump,2020-06-24
madison cawthorn is the young political newcomer who beat trump's pick in north carolina,trump,2020-06-24
dozens of secret service agents will be quarantined after trump's tulsa rally,trump,2020-06-25
fact check: breaking down trump's false claims about daca and the supreme court's ruling,trump,2020-06-25
trump administration asks supreme court to invalidate obamacare,trump,2020-06-26
"trump administration finalizing plan to withdraw 4,000 troops from afghanistan",trump,2020-06-26
trump is taking the 2020 election to a dark place,trump,2020-06-26
