date,obama immigration,isPartial
2012-08-06,0,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,0,False
2012-08-10,0,False
2012-08-11,0,False
2012-08-12,0,False
2012-08-13,41,False
2012-08-14,0,False
2012-08-15,40,False
2012-08-16,0,False
2012-08-17,0,False
2012-08-18,100,False
2012-08-19,0,False
2012-08-20,0,False
2012-08-21,41,False
2012-08-22,0,False
2012-08-23,0,False
2012-08-24,0,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,0,False
2012-08-28,0,False
2012-08-29,40,False
2012-08-30,0,False
2012-08-31,43,False
2012-09-01,0,False
2012-09-02,0,False
2012-09-03,0,False
2012-09-04,42,False
2012-09-05,0,False
2012-09-06,0,False
2012-09-07,43,False
2012-09-08,49,False
2012-09-09,0,False
2012-09-10,0,False
2012-09-11,0,False
2012-09-12,0,False
2012-09-13,0,False
2012-09-14,45,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,0,False
2012-09-18,0,False
2012-09-19,0,False
2012-09-20,44,False
2012-09-21,0,False
2012-09-22,0,False
2012-09-23,54,False
2012-09-24,0,False
2012-09-25,0,False
2012-09-26,0,False
2012-09-27,0,False
2012-09-28,0,False
2012-09-29,0,False
2012-09-30,0,False
2012-10-01,42,False
2012-10-02,0,False
2012-10-03,42,False
2012-10-04,0,False
2012-10-05,0,False
2012-10-06,0,False
2012-10-07,0,False
2012-10-08,0,False
2012-10-09,40,False
2012-10-10,40,False
2012-10-11,0,False
2012-10-12,41,False
2012-10-13,0,False
2012-10-14,0,False
2012-10-15,40,False
2012-10-16,0,False
2012-10-17,0,False
2012-10-18,41,False
2012-10-19,81,False
2012-10-20,48,False
2012-10-21,48,False
2012-10-22,40,False
2012-10-23,39,False
2012-10-24,0,False
2012-10-25,0,False
2012-10-26,0,False
2012-10-27,46,False
2012-10-28,0,False
2012-10-29,38,False
2012-10-30,0,False
2012-10-31,0,False
2012-11-01,41,False
2012-11-02,0,False
2012-11-03,44,False
2012-11-04,0,False
2012-11-05,38,False
2012-11-06,56,False
