date,biden immigration,isPartial
2020-05-27,20,False
2020-05-28,30,False
2020-05-29,20,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,31,False
2020-06-02,0,False
2020-06-03,38,False
2020-06-04,39,False
2020-06-05,20,False
2020-06-06,0,False
2020-06-07,0,False
2020-06-08,48,False
2020-06-09,39,False
2020-06-10,40,False
2020-06-11,20,False
2020-06-12,42,False
2020-06-13,24,False
2020-06-14,24,False
2020-06-15,42,False
2020-06-16,40,False
2020-06-17,21,False
2020-06-18,21,False
2020-06-19,0,False
2020-06-20,36,False
2020-06-21,24,False
2020-06-22,42,False
2020-06-23,52,False
2020-06-24,42,False
2020-06-25,42,False
2020-06-26,33,False
2020-06-27,24,False
2020-06-28,35,False
2020-06-29,22,False
2020-06-30,64,False
2020-07-01,0,False
2020-07-02,22,False
2020-07-03,69,False
2020-07-04,52,False
2020-07-05,53,False
2020-07-06,21,False
2020-07-07,32,False
2020-07-08,54,False
2020-07-09,86,False
2020-07-10,100,False
2020-07-11,49,False
