date,vote romney,isPartial
2012-08-06,5,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,0,False
2012-08-10,0,False
2012-08-11,6,False
2012-08-12,12,False
2012-08-13,15,False
2012-08-14,0,False
2012-08-15,0,False
2012-08-16,7,False
2012-08-17,5,False
2012-08-18,5,False
2012-08-19,10,False
2012-08-20,5,False
2012-08-21,0,False
2012-08-22,0,False
2012-08-23,0,False
2012-08-24,4,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,6,False
2012-08-28,0,False
2012-08-29,5,False
2012-08-30,11,False
2012-08-31,19,False
2012-09-01,6,False
2012-09-02,0,False
2012-09-03,6,False
2012-09-04,0,False
2012-09-05,0,False
2012-09-06,10,False
2012-09-07,16,False
2012-09-08,6,False
2012-09-09,6,False
2012-09-10,8,False
2012-09-11,5,False
2012-09-12,5,False
2012-09-13,5,False
2012-09-14,6,False
2012-09-15,0,False
2012-09-16,6,False
2012-09-17,5,False
2012-09-18,0,False
2012-09-19,5,False
2012-09-20,5,False
2012-09-21,0,False
2012-09-22,6,False
2012-09-23,6,False
2012-09-24,5,False
2012-09-25,5,False
2012-09-26,5,False
2012-09-27,8,False
2012-09-28,6,False
2012-09-29,13,False
2012-09-30,6,False
2012-10-01,10,False
2012-10-02,20,False
2012-10-03,10,False
2012-10-04,33,False
2012-10-05,21,False
2012-10-06,25,False
2012-10-07,18,False
2012-10-08,15,False
2012-10-09,15,False
2012-10-10,16,False
2012-10-11,0,False
2012-10-12,5,False
2012-10-13,6,False
2012-10-14,6,False
2012-10-15,15,False
2012-10-16,15,False
2012-10-17,18,False
2012-10-18,8,False
2012-10-19,11,False
2012-10-20,13,False
2012-10-21,6,False
2012-10-22,5,False
2012-10-23,19,False
2012-10-24,10,False
2012-10-25,10,False
2012-10-26,13,False
2012-10-27,12,False
2012-10-28,15,False
2012-10-29,20,False
2012-10-30,15,False
2012-10-31,11,False
2012-11-01,19,False
2012-11-02,32,False
2012-11-03,15,False
2012-11-04,24,False
2012-11-05,37,False
2012-11-06,100,False
