date,text
2020-06-03,trump is pushing to eliminate payroll taxes. it could doom social security
2020-06-03,washington post: trump attempted to register to vote in florida last year using the white house address
2020-06-03,chances look slim for congress to overhaul policing laws any time soon
2020-06-03,george w. bush finally steps onto the right side of history
2020-06-03,incumbents usually are penalized in times of unrest
2020-06-03,"5 things to know for june 3: protests, coronavirus, elections, israel, rnc"
2020-06-04,cdc woes bring director redfield's troubled past as an aids researcher to light
2020-06-04,trump's foundation starts to crack
2020-06-04,mark cuban was seriously weighing a run for president last month. here's why he decided against it
2020-06-04,reimagining the world after covid
2020-06-04,why trump's 'law and order' rhetoric may not be as effective as it was for nixon and reagan
2020-06-04,the top 10 women joe biden might pick as vice president
2020-06-04,"coronavirus may not be mutating, but experts say there is still potential for danger"
2020-06-05,cnn poll of polls finds biden leading trump
2020-06-05,nursing home resident: 'i feel as though i am in #deathcamp2020'
2020-06-05,anthony scaramucci: fed policy created donald trump. and it's happening again
2020-06-05,republicans signal less urgency to pass new stimulus bill after positive jobs report
2020-06-05,it's the summer of the rv. even trump wants to get one
2020-06-05,fact check: trump glosses over racial disparities in jobs numbers while invoking george floyd
2020-06-05,trump administration plans to cut us troops in germany
2020-06-05,trump invokes george floyd's name while taking economic victory lap
2020-06-05,trump declares victory as us unemployment drops to 13.3%
2020-06-06,ex-acting labor secretary defends bls in the wake of jobs report misclassification error
2020-06-06,analysis: is the us still the world's moral leader?
2020-06-06,trump may shoot himself in the foot with a split-city gop convention
2020-06-06,joe biden wins enough delegates to secure democratic nomination
2020-06-06,how the coronavirus pandemic jump-started efforts to free american held by iran
2020-06-06,flash bangs and fury: behind the fortress walls in a defining week for trump and the country
2020-06-07,state and local governments could kill a recovery in the labor market
2020-06-07,white house is considering a trump speech to the nation on race and unity
2020-06-07,"start your monday smart: george floyd, elections, pga, phish, nascar"
2020-06-07,coronavirus pandemic: updates from around the world
2020-06-07,watch and read: colin powell criticizes trump's response to protests in 'state of the union' interview
2020-06-08,biden embraces healer-in-chief role in return to campaign trail
2020-06-08,china's economy is still struggling to recover from the pandemic
2020-06-08,investors are watching as new york city eases its lockdown
2020-06-08,the elite military club that's scorning trump
2020-06-08,cnn poll: trump losing ground to biden amid chaotic week
2020-06-08,where the george floyd case must be tried
2020-06-09,"white house prepares new immigration limits, using coronavirus as cover"
2020-06-09,north korea isn't talking to the south anymore. experts say it could be trying to manufacture a crisis
2020-06-09,fact check: mcenany makes false claim about romney's share of black vote
2020-06-09,luxury hotels in asia offering stellar deals for travelers amid coronavirus
2020-06-10,capitol hill republicans watch trump's eroding standing with unease
2020-06-10,the stock market no longer cares whether trump wins
2020-06-10,hong kong has only one real rival for businesses thinking about leaving
2020-06-10,can donald trump still win?
2020-06-10,trump tackles policing reform from administration still lacking diversity
2020-06-10,nursing homes receive defective equipment as part of trump administration supply initiative
2020-06-10,democrats and republicans have separate plans on fix policing: here's where they overlap
2020-06-10,"brazil's big cities start to reopen, fueling fears of another deadly coronavirus wave"
2020-06-11,"america is in crisis, but 'the biggest casino in the world' is open for business"
2020-06-11,trump heads to dallas for campaign fundraiser and roundtable
2020-06-11,the scary alternative reality playing on fox news
2020-06-11,trump drops 'socialism' tack and goes after 'defund the police'
2020-06-11,pentagon announces $250 million in security assistance to ukraine
2020-06-11,trump and biden are raking in millions in recent weeks with the help of elite fundraisers
2020-06-11,jon ossoff wins georgia us senate democratic primary after major voting delays
2020-06-11,jon ossoff holds strong lead in georgia democratic senate primary
2020-06-11,"noel francisco to step down as us solicitor general, sources say"
2020-06-11,nike joins the companies making juneteenth an annual paid holiday
2020-06-11,how silicon valley is putting our rights at risk
2020-06-11,mississippi lawmakers pushing to remove confederate emblem from state flag
2020-06-12,10 military posts are named for confederate commanders. the army may change that
2020-06-12,opinion: i'm over 60. stop talking about coronavirus 'culling' me
2020-06-12,"the point: a wild, pro-trump conspiracy theory group is about to get its first congresswoman"
2020-06-12,"a wild, pro-trump conspiracy theory group is about to get its first congresswoman"
2020-06-12,transparency concerns plague small business lending program over disclosing information about coronavirus relief loans - cnn
2020-06-12,"vaccine experts want the fda to commit to 30,000 people in covid-19 vaccine trials"
2020-06-12,trump administration says no plans to expedite harriet tubman on the $20 bill: nyt
2020-06-12,"what if the next donald trump is, well, donald trump?"
2020-06-12,tim scott has for years highlighted racial tension with police. now he's leading the gop's effort to fix it.
2020-06-12,"trump administration continues to expel most migrants at southern border, may data shows"
2020-06-12,the week in 41 photos
2020-06-12,i covered the rodney king and freddie gray riots. this moment feels different. that's why i'm afraid
2020-06-13,these lifelong republicans may vote for biden come november
2020-06-13,make juneteenth a national holiday now
2020-06-13,the reckoning: reinvention in the rust belt
2020-06-13,federal government abdicates duty to inform public on coronavirus
2020-06-14,the myth trump is modeling
2020-06-15,republicans urge trump not to terminate relationship with world health organization
2020-06-15,it's finally time to spend money on infrastructure
2020-06-15,republican leaders aren't embracing white house adviser's suggestion of $2 trillion stimulus
2020-06-15,inspectors general warn congress that treasury might be curtailing stimulus oversight abilities
2020-06-15,what you need to know about coronavirus today
2020-06-15,my birthday wish for trump
2020-06-15,us postal service faces challenges as new postmaster takes over
2020-06-15,scotus made a monumental ruling -- and there could be more to come
2020-06-15,america has to reckon with its original sins
2020-06-15,why stacey abrams deserves applause
2020-06-16,democrats roll out new tool to combat voter purges
2020-06-16,trump indicates he's not budging on reducing number of us troops in germany
2020-06-16,fact-checking trump and barr's attacks on john bolton's book
2020-06-16,opinion: what trump and congress can do now on policing
2020-06-16,pentagon warns china is exploiting the coronavirus pandemic to wage 'economic warfare' on the us
2020-06-16,house democrats schedule june 26 vote on dc statehood
2020-06-16,house democrats schedule june 26 vote on dc statehood
2020-06-16,top senate republican pushes back on gop leaders: 'bad decision' to wait a month on police reform
2020-06-16,"5 things to know for june 16: lgbtq rights, north korea, protests, police, covid-19"
2020-06-16,"what you need to know about coronavirus on tuesday, june 16"
2020-06-17,'they're in denial': how trump's white house is ignoring the pandemic
2020-06-17,"donald trump, the stock market cheerleader-in-chief is back"
2020-06-17,trump's tulsa rally and biden's social distancing show differences in campaigning amid a pandemic
2020-06-17,"as the us rolls out new sanctions on assad, syria braces for economic devastation"
2020-06-17,watchdogs warn government faces difficulties stopping fraud in coronavirus relief
