date,hillary immigration,isPartial
2016-08-07,0,False
2016-08-08,0,False
2016-08-09,0,False
2016-08-10,0,False
2016-08-11,0,False
2016-08-12,0,False
2016-08-13,0,False
2016-08-14,42,False
2016-08-15,0,False
2016-08-16,0,False
2016-08-17,0,False
2016-08-18,38,False
2016-08-19,0,False
2016-08-20,0,False
2016-08-21,42,False
2016-08-22,37,False
2016-08-23,37,False
2016-08-24,0,False
2016-08-25,33,False
2016-08-26,69,False
2016-08-27,38,False
2016-08-28,38,False
2016-08-29,44,False
2016-08-30,0,False
2016-08-31,32,False
2016-09-01,96,False
2016-09-02,33,False
2016-09-03,38,False
2016-09-04,0,False
2016-09-05,37,False
2016-09-06,66,False
2016-09-07,45,False
2016-09-08,34,False
2016-09-09,0,False
2016-09-10,38,False
2016-09-11,0,False
2016-09-12,0,False
2016-09-13,0,False
2016-09-14,0,False
2016-09-15,0,False
2016-09-16,0,False
2016-09-17,38,False
2016-09-18,37,False
2016-09-19,49,False
2016-09-20,0,False
2016-09-21,0,False
2016-09-22,34,False
2016-09-23,34,False
2016-09-24,0,False
2016-09-25,37,False
2016-09-26,0,False
2016-09-27,0,False
2016-09-28,33,False
2016-09-29,0,False
2016-09-30,0,False
2016-10-01,0,False
2016-10-02,37,False
2016-10-03,0,False
2016-10-04,0,False
2016-10-05,31,False
2016-10-06,0,False
2016-10-07,33,False
2016-10-08,39,False
2016-10-09,38,False
2016-10-10,0,False
2016-10-11,33,False
2016-10-12,0,False
2016-10-13,34,False
2016-10-14,35,False
2016-10-15,39,False
2016-10-16,38,False
2016-10-17,33,False
2016-10-18,50,False
2016-10-19,51,False
2016-10-20,67,False
2016-10-21,35,False
2016-10-22,40,False
2016-10-23,39,False
2016-10-24,100,False
2016-10-25,66,False
2016-10-26,0,False
2016-10-27,33,False
2016-10-28,0,False
2016-10-29,38,False
2016-10-30,0,False
2016-10-31,66,False
2016-11-01,67,False
2016-11-02,32,False
2016-11-03,79,False
2016-11-04,50,False
2016-11-05,0,False
2016-11-06,37,False
2016-11-07,53,False
2016-11-08,46,False
