date,trump health,isPartial
2016-08-07,0,False
2016-08-08,0,False
2016-08-09,25,False
2016-08-10,0,False
2016-08-11,0,False
2016-08-12,0,False
2016-08-13,0,False
2016-08-14,0,False
2016-08-15,0,False
2016-08-16,0,False
2016-08-17,26,False
2016-08-18,0,False
2016-08-19,0,False
2016-08-20,31,False
2016-08-21,0,False
2016-08-22,25,False
2016-08-23,26,False
2016-08-24,0,False
2016-08-25,0,False
2016-08-26,0,False
2016-08-27,0,False
2016-08-28,27,False
2016-08-29,0,False
2016-08-30,45,False
2016-08-31,23,False
2016-09-01,0,False
2016-09-02,24,False
2016-09-03,27,False
2016-09-04,0,False
2016-09-05,0,False
2016-09-06,0,False
2016-09-07,22,False
2016-09-08,0,False
2016-09-09,22,False
2016-09-10,0,False
2016-09-11,100,False
2016-09-12,76,False
2016-09-13,33,False
2016-09-14,55,False
2016-09-15,45,False
2016-09-16,35,False
2016-09-17,0,False
2016-09-18,0,False
2016-09-19,21,False
2016-09-20,0,False
2016-09-21,22,False
2016-09-22,22,False
2016-09-23,23,False
2016-09-24,0,False
2016-09-25,0,False
2016-09-26,22,False
2016-09-27,44,False
2016-09-28,0,False
2016-09-29,0,False
2016-09-30,22,False
2016-10-01,0,False
2016-10-02,0,False
2016-10-03,21,False
2016-10-04,21,False
2016-10-05,0,False
2016-10-06,22,False
2016-10-07,0,False
2016-10-08,26,False
2016-10-09,0,False
2016-10-10,22,False
2016-10-11,0,False
2016-10-12,45,False
2016-10-13,33,False
2016-10-14,23,False
2016-10-15,28,False
2016-10-16,26,False
2016-10-17,33,False
2016-10-18,22,False
2016-10-19,45,False
2016-10-20,0,False
2016-10-21,22,False
2016-10-22,27,False
2016-10-23,26,False
2016-10-24,21,False
2016-10-25,22,False
2016-10-26,0,False
2016-10-27,22,False
2016-10-28,23,False
2016-10-29,0,False
2016-10-30,26,False
2016-10-31,22,False
2016-11-01,22,False
2016-11-02,22,False
2016-11-03,21,False
2016-11-04,0,False
2016-11-05,0,False
2016-11-06,24,False
2016-11-07,21,False
2016-11-08,20,False
