date,trump
2020-04-11,26
2020-04-12,26
2020-04-13,37
2020-04-14,42
2020-04-15,39
2020-04-16,39
2020-04-17,34
2020-04-18,31
2020-04-19,33
2020-04-20,26
2020-04-21,34
2020-04-22,29
2020-04-23,25
2020-04-24,61
2020-04-25,45
2020-04-26,34
2020-04-27,29
2020-04-28,26
2020-04-29,23
2020-04-30,23
2020-05-01,21
2020-05-02,20
2020-05-03,22
2020-05-04,22
2020-05-05,21
2020-05-06,22
2020-05-07,22
2020-05-08,21
2020-05-09,22
2020-05-10,22
2020-05-11,23
2020-05-12,30
2020-05-13,24
2020-05-14,24
2020-05-15,23
2020-05-16,23
2020-05-17,26
2020-05-18,24
2020-05-19,29
2020-05-20,26
2020-05-21,25
2020-05-22,26
2020-05-23,24
2020-05-24,24
2020-05-25,26
2020-05-26,25
2020-05-27,30
2020-05-28,33
2020-05-29,51
2020-05-30,43
2020-05-31,52
2020-06-01,75
2020-06-02,87
2020-06-03,64
2020-06-04,54
2020-06-05,49
2020-06-06,48
2020-06-07,44
2020-06-08,36
2020-06-09,35
2020-06-10,33
2020-06-11,36
2020-06-12,37
2020-06-13,41
2020-06-14,56
2020-06-15,49
2020-06-16,40
2020-06-17,38
2020-06-18,44
2020-06-19,46
2020-06-20,69
2020-06-21,100
2020-06-22,52
2020-06-23,47
2020-06-24,40
2020-06-25,36
2020-06-26,39
2020-06-27,42
2020-06-28,58
2020-06-29,52
2020-06-30,42
2020-07-01,35
2020-07-02,38
2020-07-03,39
2020-07-04,61
2020-07-05,46
2020-07-06,38
2020-07-07,41
2020-07-08,43
2020-07-09,44
2020-07-10,37
