date,biden
2020-04-11,41
2020-04-12,39
2020-04-13,46
2020-04-14,65
2020-04-15,53
2020-04-16,43
2020-04-17,40
2020-04-18,37
2020-04-19,38
2020-04-20,28
2020-04-21,30
2020-04-22,29
2020-04-23,27
2020-04-24,30
2020-04-25,43
2020-04-26,42
2020-04-27,36
2020-04-28,47
2020-04-29,47
2020-04-30,53
2020-05-01,72
2020-05-02,58
2020-05-03,45
2020-05-04,36
2020-05-05,29
2020-05-06,29
2020-05-07,28
2020-05-08,31
2020-05-09,30
2020-05-10,26
2020-05-11,22
2020-05-12,26
2020-05-13,29
2020-05-14,28
2020-05-15,31
2020-05-16,30
2020-05-17,27
2020-05-18,22
2020-05-19,25
2020-05-20,30
2020-05-21,31
2020-05-22,99
2020-05-23,100
2020-05-24,63
2020-05-25,52
2020-05-26,53
2020-05-27,43
2020-05-28,37
2020-05-29,35
2020-05-30,35
2020-05-31,36
2020-06-01,38
2020-06-02,67
2020-06-03,53
2020-06-04,42
2020-06-05,43
2020-06-06,44
2020-06-07,44
2020-06-08,44
2020-06-09,43
2020-06-10,37
2020-06-11,37
2020-06-12,41
2020-06-13,44
2020-06-14,41
2020-06-15,38
2020-06-16,34
2020-06-17,33
2020-06-18,33
2020-06-19,41
2020-06-20,45
2020-06-21,64
2020-06-22,42
2020-06-23,48
2020-06-24,52
2020-06-25,53
2020-06-26,63
2020-06-27,51
2020-06-28,52
2020-06-29,40
2020-06-30,57
2020-07-01,48
2020-07-02,48
2020-07-03,40
2020-07-04,46
2020-07-05,51
2020-07-06,41
2020-07-07,39
2020-07-08,40
2020-07-09,51
2020-07-10,53
