date,vote trump,isPartial
2016-08-07,4,False
2016-08-08,3,False
2016-08-09,0,False
2016-08-10,0,False
2016-08-11,0,False
2016-08-12,3,False
2016-08-13,0,False
2016-08-14,0,False
2016-08-15,0,False
2016-08-16,0,False
2016-08-17,0,False
2016-08-18,4,False
2016-08-19,4,False
2016-08-20,6,False
2016-08-21,0,False
2016-08-22,0,False
2016-08-23,3,False
2016-08-24,0,False
2016-08-25,0,False
2016-08-26,3,False
2016-08-27,0,False
2016-08-28,0,False
2016-08-29,0,False
2016-08-30,6,False
2016-08-31,3,False
2016-09-01,0,False
2016-09-02,0,False
2016-09-03,0,False
2016-09-04,0,False
2016-09-05,0,False
2016-09-06,0,False
2016-09-07,3,False
2016-09-08,0,False
2016-09-09,3,False
2016-09-10,0,False
2016-09-11,3,False
2016-09-12,3,False
2016-09-13,0,False
2016-09-14,0,False
2016-09-15,3,False
2016-09-16,3,False
2016-09-17,3,False
2016-09-18,0,False
2016-09-19,3,False
2016-09-20,6,False
2016-09-21,3,False
2016-09-22,6,False
2016-09-23,3,False
2016-09-24,3,False
2016-09-25,3,False
2016-09-26,0,False
2016-09-27,4,False
2016-09-28,6,False
2016-09-29,3,False
2016-09-30,3,False
2016-10-01,6,False
2016-10-02,0,False
2016-10-03,3,False
2016-10-04,0,False
2016-10-05,3,False
2016-10-06,6,False
2016-10-07,3,False
2016-10-08,10,False
2016-10-09,5,False
2016-10-10,13,False
2016-10-11,13,False
2016-10-12,11,False
2016-10-13,20,False
2016-10-14,6,False
2016-10-15,3,False
2016-10-16,3,False
2016-10-17,6,False
2016-10-18,10,False
2016-10-19,6,False
2016-10-20,7,False
2016-10-21,7,False
2016-10-22,0,False
2016-10-23,3,False
2016-10-24,4,False
2016-10-25,10,False
2016-10-26,6,False
2016-10-27,11,False
2016-10-28,7,False
2016-10-29,3,False
2016-10-30,5,False
2016-10-31,9,False
2016-11-01,9,False
2016-11-02,14,False
2016-11-03,15,False
2016-11-04,12,False
2016-11-05,17,False
2016-11-06,15,False
2016-11-07,37,False
2016-11-08,100,False
