10,15
27,32
21,26
10,15
11,16
41,46
22,27
10,15
27,32
10,15
0,5
100,105
10,15
37,42
0,5
41,46
32,37
11,16
92,97
5,10
70,75
38,43
42,47
55,60
53,58
75,80
0,5
14,19
10,15
29,34
18,23
70,75
12,17
0,5
14,19
0,5
85,90
30,35
12,17
0,5
49,54
40,45
0,5
13,18
19,24
83,88
40,45
17,22
0,5
29,34
33,38
0,5
14,19
0,5
0,5
38,43
0,5
15,20
22,27
31,36
25,30
36,41
0,5
12,17
13,18
15,20
23,28
11,16
0,5
0,5
37,42
0,5
58,63
0,5
0,5
38,43
0,5
28,33
0,5
0,5
27,32
17,22
0,5
19,24
27,32
0,5
0,5
14,19
0,5
9,14
15,20
0,5
13,18
0,5
42,47
42,47
0,5
0,5
23,28
32,37
26,31
52,57
0,5
0,5
0,5
0,5
62,67
68,73
0,5
27,32
12,17
16,21
16,21
16,21
15,20
48,53
35,40
41,46
20,25
60,65
0,5
0,5
0,5
48,53
0,5
22,27
23,28
12,17
0,5
32,37
15,20
