date,trump economy,isPartial
2020-05-27,42,False
2020-05-28,0,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,0,False
2020-06-02,44,False
2020-06-03,81,False
2020-06-04,79,False
2020-06-05,41,False
2020-06-06,97,False
2020-06-07,49,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,41,False
2020-06-11,43,False
2020-06-12,45,False
2020-06-13,0,False
2020-06-14,0,False
2020-06-15,0,False
2020-06-16,43,False
2020-06-17,0,False
2020-06-18,87,False
2020-06-19,0,False
2020-06-20,50,False
2020-06-21,50,False
2020-06-22,43,False
2020-06-23,43,False
2020-06-24,0,False
2020-06-25,45,False
2020-06-26,0,False
2020-06-27,0,False
2020-06-28,74,False
2020-06-29,46,False
2020-06-30,91,False
2020-07-01,0,False
2020-07-02,46,False
2020-07-03,100,False
2020-07-04,0,False
2020-07-05,55,False
2020-07-06,0,False
2020-07-07,71,False
2020-07-08,0,False
2020-07-09,0,False
2020-07-10,48,False
2020-07-11,0,False
