date,trump economy,isPartial
2020-05-27,0,False
2020-05-28,44,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,45,False
2020-06-02,46,False
2020-06-03,0,False
2020-06-04,64,False
2020-06-05,88,False
2020-06-06,50,False
2020-06-07,50,False
2020-06-08,0,False
2020-06-09,88,False
2020-06-10,0,False
2020-06-11,68,False
2020-06-12,0,False
2020-06-13,51,False
2020-06-14,78,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,47,False
2020-06-18,46,False
2020-06-19,0,False
2020-06-20,79,False
2020-06-21,81,False
2020-06-22,47,False
2020-06-23,93,False
2020-06-24,0,False
2020-06-25,47,False
2020-06-26,71,False
2020-06-27,0,False
2020-06-28,0,False
2020-06-29,47,False
2020-06-30,0,False
2020-07-01,95,False
2020-07-02,0,False
2020-07-03,100,False
2020-07-04,55,False
2020-07-05,55,False
2020-07-06,94,False
2020-07-07,48,False
2020-07-08,49,False
2020-07-09,49,False
2020-07-10,100,False
2020-07-11,0,False
