date,trump health,isPartial
2020-05-27,0,False
2020-05-28,0,False
2020-05-29,32,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,0,False
2020-06-02,17,False
2020-06-03,0,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,19,False
2020-06-07,19,False
2020-06-08,0,False
2020-06-09,16,False
2020-06-10,16,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,19,False
2020-06-14,19,False
2020-06-15,100,False
2020-06-16,50,False
2020-06-17,70,False
2020-06-18,0,False
2020-06-19,17,False
2020-06-20,19,False
2020-06-21,0,False
2020-06-22,0,False
2020-06-23,0,False
2020-06-24,0,False
2020-06-25,18,False
2020-06-26,0,False
2020-06-27,19,False
2020-06-28,0,False
2020-06-29,0,False
2020-06-30,18,False
2020-07-01,18,False
2020-07-02,0,False
2020-07-03,19,False
2020-07-04,0,False
2020-07-05,0,False
2020-07-06,0,False
2020-07-07,0,False
2020-07-08,0,False
2020-07-09,0,False
2020-07-10,19,False
2020-07-11,0,False
