date,trump
2020-04-11,15
2020-04-12,19
2020-04-13,28
2020-04-14,35
2020-04-15,27
2020-04-16,25
2020-04-17,25
2020-04-18,21
2020-04-19,29
2020-04-20,23
2020-04-21,17
2020-04-22,27
2020-04-23,19
2020-04-24,48
2020-04-25,34
2020-04-26,23
2020-04-27,21
2020-04-28,16
2020-04-29,12
2020-04-30,8
2020-05-01,22
2020-05-02,18
2020-05-03,10
2020-05-04,20
2020-05-05,24
2020-05-06,11
2020-05-07,20
2020-05-08,16
2020-05-09,16
2020-05-10,18
2020-05-11,23
2020-05-12,16
2020-05-13,9
2020-05-14,19
2020-05-15,29
2020-05-16,25
2020-05-17,21
2020-05-18,19
2020-05-19,16
2020-05-20,12
2020-05-21,17
2020-05-22,21
2020-05-23,11
2020-05-24,21
2020-05-25,16
2020-05-26,15
2020-05-27,20
2020-05-28,37
2020-05-29,28
2020-05-30,34
2020-05-31,36
2020-06-01,54
2020-06-02,76
2020-06-03,49
2020-06-04,52
2020-06-05,100
2020-06-06,58
2020-06-07,43
2020-06-08,17
2020-06-09,30
2020-06-10,40
2020-06-11,33
2020-06-12,22
2020-06-13,39
2020-06-14,59
2020-06-15,33
2020-06-16,28
2020-06-17,29
2020-06-18,28
2020-06-19,41
2020-06-20,56
2020-06-21,83
2020-06-22,39
2020-06-23,37
2020-06-24,34
2020-06-25,33
2020-06-26,30
2020-06-27,37
2020-06-28,37
2020-06-29,27
2020-06-30,24
2020-07-01,31
2020-07-02,24
2020-07-03,33
2020-07-04,35
2020-07-05,38
2020-07-06,31
2020-07-07,24
2020-07-08,37
2020-07-09,49
2020-07-10,36
2020-07-11,37
