date,vote trump,isPartial
2020-04-11,34,False
2020-04-12,0,False
2020-04-13,28,False
2020-04-14,27,False
2020-04-15,0,False
2020-04-16,0,False
2020-04-17,0,False
2020-04-18,0,False
2020-04-19,0,False
2020-04-20,28,False
2020-04-21,0,False
2020-04-22,0,False
2020-04-23,28,False
2020-04-24,28,False
2020-04-25,0,False
2020-04-26,0,False
2020-04-27,0,False
2020-04-28,0,False
2020-04-29,0,False
2020-04-30,27,False
2020-05-01,0,False
2020-05-02,0,False
2020-05-03,0,False
2020-05-04,57,False
2020-05-05,26,False
2020-05-06,0,False
2020-05-07,29,False
2020-05-08,0,False
2020-05-09,0,False
2020-05-10,0,False
2020-05-11,0,False
2020-05-12,0,False
2020-05-13,59,False
2020-05-14,28,False
2020-05-15,30,False
2020-05-16,0,False
2020-05-17,0,False
2020-05-18,0,False
2020-05-19,29,False
2020-05-20,30,False
2020-05-21,31,False
2020-05-22,63,False
2020-05-23,0,False
2020-05-24,0,False
2020-05-25,0,False
2020-05-26,0,False
2020-05-27,30,False
2020-05-28,29,False
2020-05-29,46,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,29,False
2020-06-02,0,False
2020-06-03,30,False
2020-06-04,45,False
2020-06-05,0,False
2020-06-06,55,False
2020-06-07,0,False
2020-06-08,30,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,0,False
2020-06-14,0,False
2020-06-15,64,False
2020-06-16,0,False
2020-06-17,33,False
2020-06-18,33,False
2020-06-19,0,False
2020-06-20,35,False
2020-06-21,56,False
2020-06-22,31,False
2020-06-23,0,False
2020-06-24,0,False
2020-06-25,33,False
2020-06-26,32,False
2020-06-27,38,False
2020-06-28,37,False
2020-06-29,32,False
2020-06-30,33,False
2020-07-01,33,False
2020-07-02,100,False
2020-07-03,71,False
2020-07-04,41,False
2020-07-05,78,False
2020-07-06,0,False
2020-07-07,0,False
2020-07-08,33,False
2020-07-09,64,False
2020-07-10,34,False
2020-07-11,38,False
