date,trump
2020-04-11,24
2020-04-12,27
2020-04-13,50
2020-04-14,48
2020-04-15,43
2020-04-16,49
2020-04-17,46
2020-04-18,35
2020-04-19,40
2020-04-20,33
2020-04-21,35
2020-04-22,32
2020-04-23,25
2020-04-24,75
2020-04-25,50
2020-04-26,37
2020-04-27,36
2020-04-28,30
2020-04-29,23
2020-04-30,31
2020-05-01,26
2020-05-02,21
2020-05-03,24
2020-05-04,23
2020-05-05,26
2020-05-06,25
2020-05-07,21
2020-05-08,24
2020-05-09,27
2020-05-10,26
2020-05-11,31
2020-05-12,35
2020-05-13,25
2020-05-14,29
2020-05-15,25
2020-05-16,26
2020-05-17,33
2020-05-18,25
2020-05-19,33
2020-05-20,29
2020-05-21,28
2020-05-22,25
2020-05-23,30
2020-05-24,21
2020-05-25,25
2020-05-26,25
2020-05-27,33
2020-05-28,38
2020-05-29,56
2020-05-30,45
2020-05-31,55
2020-06-01,79
2020-06-02,100
2020-06-03,70
2020-06-04,50
2020-06-05,48
2020-06-06,47
2020-06-07,45
2020-06-08,37
2020-06-09,36
2020-06-10,34
2020-06-11,34
2020-06-12,42
2020-06-13,45
2020-06-14,68
2020-06-15,46
2020-06-16,37
2020-06-17,38
2020-06-18,45
2020-06-19,47
2020-06-20,73
2020-06-21,96
2020-06-22,50
2020-06-23,47
2020-06-24,42
2020-06-25,37
2020-06-26,38
2020-06-27,44
2020-06-28,54
2020-06-29,53
2020-06-30,47
2020-07-01,38
2020-07-02,44
2020-07-03,46
2020-07-04,61
2020-07-05,54
2020-07-06,43
2020-07-07,45
2020-07-08,51
2020-07-09,53
2020-07-10,42
2020-07-11,38
