date,biden economy,isPartial
2020-05-27,41,False
2020-05-28,20,False
2020-05-29,31,False
2020-05-30,24,False
2020-05-31,24,False
2020-06-01,32,False
2020-06-02,42,False
2020-06-03,20,False
2020-06-04,20,False
2020-06-05,51,False
2020-06-06,47,False
2020-06-07,48,False
2020-06-08,40,False
2020-06-09,100,False
2020-06-10,21,False
2020-06-11,21,False
2020-06-12,22,False
2020-06-13,25,False
2020-06-14,62,False
2020-06-15,64,False
2020-06-16,21,False
2020-06-17,22,False
2020-06-18,22,False
2020-06-19,44,False
2020-06-20,25,False
2020-06-21,25,False
2020-06-22,22,False
2020-06-23,22,False
2020-06-24,33,False
2020-06-25,33,False
2020-06-26,45,False
2020-06-27,25,False
2020-06-28,24,False
2020-06-29,56,False
2020-06-30,44,False
2020-07-01,22,False
2020-07-02,45,False
2020-07-03,24,False
2020-07-04,40,False
2020-07-05,0,False
2020-07-06,44,False
2020-07-07,22,False
2020-07-08,67,False
2020-07-09,89,False
2020-07-10,92,False
2020-07-11,25,False
