date,biden economy,isPartial
2020-05-27,0,False
2020-05-28,0,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,0,False
2020-06-02,82,False
2020-06-03,0,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,0,False
2020-06-07,90,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,0,False
2020-06-12,85,False
2020-06-13,0,False
2020-06-14,0,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,85,False
2020-06-18,83,False
2020-06-19,0,False
2020-06-20,0,False
2020-06-21,97,False
2020-06-22,87,False
2020-06-23,85,False
2020-06-24,0,False
2020-06-25,85,False
2020-06-26,0,False
2020-06-27,0,False
2020-06-28,0,False
2020-06-29,0,False
2020-06-30,87,False
2020-07-01,86,False
2020-07-02,0,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,100,False
2020-07-06,0,False
2020-07-07,88,False
2020-07-08,0,False
2020-07-09,89,False
2020-07-10,90,False
2020-07-11,0,False
