headlines,terms,dates
"why trump has the fbi, ice and tsa patrolling washington streets",trump,2020-06-03
dc mayor asks trump to 'withdraw all extraordinary' law enforcement and guard troops from city,trump,2020-06-05
watch and read: colin powell criticizes trump's response to protests in 'state of the union' interview,trump,2020-06-07
trump administration proposes sweeping changes to us asylum system in new rule,trump,2020-06-11
trump authorizes sanctions against international criminal court,trump,2020-06-11
"trump administration continues to expel most migrants at southern border, may data shows",trump,2020-06-12
trump's decision to hold a tulsa rally on juneteenth is no coincidence,trump,2020-06-12
"start your monday smart: flag day, refugees, solstice, juneteenth, trump's birthday",trump,2020-06-14
the myth trump is modeling,trump,2020-06-14
the remarkable idiocy of holding a trump rally in tulsa,trump,2020-06-15
trump to rally for tuberville in jeff sessions' hometown in senate gop primary fight,trump,2020-06-15
trump signs uyghur human rights bill on same day bolton alleges he told xi to proceed with detention camps,trump,2020-06-17
the psychologist in the trump family speaks,trump,2020-06-17
what happens next to the dreamers is on trump,trump,2020-06-18
trump's cold-blooded move to shut out desperate refugees,trump,2020-06-18
supreme court blocks trump's attempt to end daca,trump,2020-06-18
"in repeat of 2016 strategy, trump pledges new list of justices after two stinging supreme court losses",trump,2020-06-18
john roberts defies trump and conservatives with another legacy decision,trump,2020-06-18
from coronavirus cases to the nfl: fact-checking trump's dishonesty-filled day of interviews,trump,2020-06-18
trump administration finalizes rule that could lead to delays in work for asylum seekers,trump,2020-06-19
trump adds uncertainty to future of daca participants,trump,2020-06-19
trump can't stop talking about that west point ramp,trump,2020-06-19
trump's familiar false claims from may 4 to june 7,trump,2020-06-19
trump threatens protesters ahead of tulsa rally,trump,2020-06-19
pompeo condemns china's treatment of uyghurs after bolton claims trump approved,trump,2020-06-19
trump made 192 false claims from may 4 through june 7,trump,2020-06-19
"trump holds rally in tulsa, oklahoma",trump,2020-06-20
trump's chilling distortion of 'law and order',trump,2020-06-20
trump tempts fate with tulsa rally during pandemic and a national racial reckoning,trump,2020-06-20
"while trump wages a political war, dangerous conflicts unfold in asia",trump,2020-06-21
fact check: trump's tulsa rally littered with familiar false claims,trump,2020-06-21
sick staff and empty seats: how trump's triumphant return to the campaign trail went from bad to worse,trump,2020-06-21
"trump spreads new lies about foreign-backed voter fraud, stoking fears of a 'rigged election'",trump,2020-06-22
trump's removal of hong kong's special status hurts the us more than china,trump,2020-06-22
analysis: trump's testing claim is the latest in a pattern of supposed jokes,trump,2020-06-23
trump's war against mail-in voting lacks republican allies,trump,2020-06-23
tech companies slam trump's executive order restricting work visas,trump,2020-06-23
the hidden health cost of trump's visa freeze,trump,2020-06-23
trump takes his first 2020 trip to the us-mexico border,trump,2020-06-23
trump's pandemic failing is now directly impacting his campaign,trump,2020-06-23
madison cawthorn is the young political newcomer who beat trump's pick in north carolina,trump,2020-06-24
fact check: breaking down trump's false claims about daca and the supreme court's ruling,trump,2020-06-25
trump is desperate -- and dangerous,trump,2020-06-25
trump administration's swipe at legal immigration puts thousands of lives in limbo,trump,2020-06-25
trump entrenched in failed strategy as virus surges and polling drops,trump,2020-06-25
trump administration imposes visa restrictions on chinese officials,trump,2020-06-26
"by blocking visas for foreign workers, trump is further hurting the us economy",trump,2020-06-26
trump administration imposes visa restrictions on chinese officials,trump,2020-06-26
"trump can't divert military funds for border wall, federal appeals court says",trump,2020-06-26
trump is taking the 2020 election to a dark place,trump,2020-06-26
