date,hillary health,isPartial
2016-08-07,0,False
2016-08-08,30,False
2016-08-09,26,False
2016-08-10,18,False
2016-08-11,9,False
2016-08-12,18,False
2016-08-13,10,False
2016-08-14,10,False
2016-08-15,9,False
2016-08-16,18,False
2016-08-17,18,False
2016-08-18,18,False
2016-08-19,19,False
2016-08-20,21,False
2016-08-21,16,False
2016-08-22,41,False
2016-08-23,40,False
2016-08-24,18,False
2016-08-25,0,False
2016-08-26,0,False
2016-08-27,15,False
2016-08-28,44,False
2016-08-29,21,False
2016-08-30,25,False
2016-08-31,12,False
2016-09-01,12,False
2016-09-02,24,False
2016-09-03,9,False
2016-09-04,10,False
2016-09-05,9,False
2016-09-06,12,False
2016-09-07,8,False
2016-09-08,8,False
2016-09-09,8,False
2016-09-10,19,False
2016-09-11,64,False
2016-09-12,100,False
2016-09-13,58,False
2016-09-14,28,False
2016-09-15,27,False
2016-09-16,20,False
2016-09-17,0,False
2016-09-18,14,False
2016-09-19,15,False
2016-09-20,8,False
2016-09-21,15,False
2016-09-22,16,False
2016-09-23,0,False
2016-09-24,10,False
2016-09-25,19,False
2016-09-26,15,False
2016-09-27,0,False
2016-09-28,8,False
2016-09-29,0,False
2016-09-30,8,False
2016-10-01,10,False
2016-10-02,0,False
2016-10-03,0,False
2016-10-04,8,False
2016-10-05,0,False
2016-10-06,0,False
2016-10-07,11,False
2016-10-08,17,False
2016-10-09,19,False
2016-10-10,0,False
2016-10-11,8,False
2016-10-12,8,False
2016-10-13,0,False
2016-10-14,0,False
2016-10-15,0,False
2016-10-16,10,False
2016-10-17,0,False
2016-10-18,8,False
2016-10-19,8,False
2016-10-20,12,False
2016-10-21,0,False
2016-10-22,0,False
2016-10-23,0,False
2016-10-24,0,False
2016-10-25,8,False
2016-10-26,8,False
2016-10-27,0,False
2016-10-28,8,False
2016-10-29,0,False
2016-10-30,9,False
2016-10-31,0,False
2016-11-01,8,False
2016-11-02,8,False
2016-11-03,0,False
2016-11-04,8,False
2016-11-05,0,False
2016-11-06,0,False
2016-11-07,7,False
2016-11-08,7,False
