date,hillary health,isPartial
2016-08-07,5,False
2016-08-08,15,False
2016-08-09,17,False
2016-08-10,15,False
2016-08-11,17,False
2016-08-12,13,False
2016-08-13,7,False
2016-08-14,6,False
2016-08-15,8,False
2016-08-16,10,False
2016-08-17,11,False
2016-08-18,16,False
2016-08-19,12,False
2016-08-20,10,False
2016-08-21,16,False
2016-08-22,33,False
2016-08-23,25,False
2016-08-24,17,False
2016-08-25,8,False
2016-08-26,10,False
2016-08-27,17,False
2016-08-28,47,False
2016-08-29,14,False
2016-08-30,16,False
2016-08-31,10,False
2016-09-01,8,False
2016-09-02,6,False
2016-09-03,7,False
2016-09-04,6,False
2016-09-05,9,False
2016-09-06,13,False
2016-09-07,11,False
2016-09-08,9,False
2016-09-09,7,False
2016-09-10,6,False
2016-09-11,79,False
2016-09-12,100,False
2016-09-13,59,False
2016-09-14,44,False
2016-09-15,24,False
2016-09-16,17,False
2016-09-17,9,False
2016-09-18,10,False
2016-09-19,12,False
2016-09-20,7,False
2016-09-21,11,False
2016-09-22,9,False
2016-09-23,7,False
2016-09-24,8,False
2016-09-25,7,False
2016-09-26,12,False
2016-09-27,9,False
2016-09-28,4,False
2016-09-29,4,False
2016-09-30,4,False
2016-10-01,3,False
2016-10-02,3,False
2016-10-03,3,False
2016-10-04,3,False
2016-10-05,3,False
2016-10-06,5,False
2016-10-07,4,False
2016-10-08,4,False
2016-10-09,3,False
2016-10-10,6,False
2016-10-11,5,False
2016-10-12,6,False
2016-10-13,4,False
2016-10-14,3,False
2016-10-15,2,False
2016-10-16,4,False
2016-10-17,5,False
2016-10-18,4,False
2016-10-19,4,False
2016-10-20,5,False
2016-10-21,4,False
2016-10-22,2,False
2016-10-23,3,False
2016-10-24,4,False
2016-10-25,4,False
2016-10-26,4,False
2016-10-27,4,False
2016-10-28,5,False
2016-10-29,4,False
2016-10-30,3,False
2016-10-31,4,False
2016-11-01,4,False
2016-11-02,3,False
2016-11-03,4,False
2016-11-04,4,False
2016-11-05,4,False
2016-11-06,3,False
2016-11-07,5,False
2016-11-08,6,False
