date,hillary health,isPartial
2016-08-07,0,False
2016-08-08,0,False
2016-08-09,0,False
2016-08-10,33,False
2016-08-11,0,False
2016-08-12,0,False
2016-08-13,0,False
2016-08-14,0,False
2016-08-15,0,False
2016-08-16,34,False
2016-08-17,34,False
2016-08-18,0,False
2016-08-19,35,False
2016-08-20,0,False
2016-08-21,75,False
2016-08-22,52,False
2016-08-23,34,False
2016-08-24,34,False
2016-08-25,0,False
2016-08-26,0,False
2016-08-27,35,False
2016-08-28,35,False
2016-08-29,0,False
2016-08-30,64,False
2016-08-31,0,False
2016-09-01,0,False
2016-09-02,33,False
2016-09-03,34,False
2016-09-04,0,False
2016-09-05,33,False
2016-09-06,0,False
2016-09-07,0,False
2016-09-08,0,False
2016-09-09,0,False
2016-09-10,35,False
2016-09-11,100,False
2016-09-12,77,False
2016-09-13,45,False
2016-09-14,0,False
2016-09-15,30,False
2016-09-16,30,False
2016-09-17,34,False
2016-09-18,33,False
2016-09-19,30,False
2016-09-20,30,False
2016-09-21,60,False
2016-09-22,0,False
2016-09-23,62,False
2016-09-24,0,False
2016-09-25,0,False
2016-09-26,90,False
2016-09-27,0,False
2016-09-28,30,False
2016-09-29,0,False
2016-09-30,0,False
2016-10-01,0,False
2016-10-02,0,False
2016-10-03,0,False
2016-10-04,0,False
2016-10-05,0,False
2016-10-06,0,False
2016-10-07,0,False
2016-10-08,0,False
2016-10-09,0,False
2016-10-10,29,False
2016-10-11,0,False
2016-10-12,29,False
2016-10-13,0,False
2016-10-14,28,False
2016-10-15,0,False
2016-10-16,0,False
2016-10-17,0,False
2016-10-18,0,False
2016-10-19,0,False
2016-10-20,30,False
2016-10-21,0,False
2016-10-22,0,False
2016-10-23,0,False
2016-10-24,0,False
2016-10-25,30,False
2016-10-26,0,False
2016-10-27,0,False
2016-10-28,0,False
2016-10-29,0,False
2016-10-30,0,False
2016-10-31,0,False
2016-11-01,0,False
2016-11-02,0,False
2016-11-03,28,False
2016-11-04,0,False
2016-11-05,34,False
2016-11-06,0,False
2016-11-07,0,False
2016-11-08,29,False
