date,vote biden,isPartial
2020-05-27,89,False
2020-05-28,55,False
2020-05-29,54,False
2020-05-30,67,False
2020-05-31,55,False
2020-06-01,25,False
2020-06-02,100,False
2020-06-03,85,False
2020-06-04,56,False
2020-06-05,39,False
2020-06-06,59,False
2020-06-07,68,False
2020-06-08,36,False
2020-06-09,43,False
2020-06-10,47,False
2020-06-11,40,False
2020-06-12,54,False
2020-06-13,45,False
2020-06-14,37,False
2020-06-15,33,False
2020-06-16,41,False
2020-06-17,26,False
2020-06-18,44,False
2020-06-19,43,False
2020-06-20,40,False
2020-06-21,77,False
2020-06-22,87,False
2020-06-23,72,False
2020-06-24,52,False
2020-06-25,61,False
2020-06-26,72,False
2020-06-27,35,False
2020-06-28,47,False
2020-06-29,36,False
2020-06-30,41,False
