,0
0,0
1,1
2,1
3,2
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,0
14,1
15,0
16,0
17,0
18,1
19,0
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,1
30,0
31,2
32,0
33,2
34,0
35,0
36,1
37,1
38,0
39,1
40,0
41,1
42,2
43,0
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,1
52,0
53,0
54,1
55,0
56,0
57,0
58,1
59,1
60,0
61,2
62,1
63,0
64,1
65,0
66,0
67,2
68,1
69,1
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,1
79,0
80,1
81,1
82,0
83,1
84,1
85,2
86,1
87,2
88,1
89,1
90,1
91,1
92,2
93,1
94,1
95,1
96,2
97,1
98,1
99,0
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,2
114,0
115,2
116,1
117,2
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,0
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,2
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,0
158,1
159,1
160,1
161,0
162,1
163,1
164,1
165,1
166,1
