date,romney economy,isPartial
2012-08-06,0,False
2012-08-07,5,False
2012-08-08,0,False
2012-08-09,0,False
2012-08-10,11,False
2012-08-11,0,False
2012-08-12,13,False
2012-08-13,11,False
2012-08-14,10,False
2012-08-15,11,False
2012-08-16,0,False
2012-08-17,6,False
2012-08-18,7,False
2012-08-19,13,False
2012-08-20,5,False
2012-08-21,16,False
2012-08-22,5,False
2012-08-23,11,False
2012-08-24,11,False
2012-08-25,6,False
2012-08-26,6,False
2012-08-27,21,False
2012-08-28,15,False
2012-08-29,16,False
2012-08-30,16,False
2012-08-31,27,False
2012-09-01,0,False
2012-09-02,0,False
2012-09-03,18,False
2012-09-04,10,False
2012-09-05,15,False
2012-09-06,51,False
2012-09-07,37,False
2012-09-08,6,False
2012-09-09,0,False
2012-09-10,25,False
2012-09-11,30,False
2012-09-12,20,False
2012-09-13,15,False
2012-09-14,21,False
2012-09-15,6,False
2012-09-16,6,False
2012-09-17,20,False
2012-09-18,20,False
2012-09-19,25,False
2012-09-20,31,False
2012-09-21,11,False
2012-09-22,13,False
2012-09-23,12,False
2012-09-24,5,False
2012-09-25,35,False
2012-09-26,15,False
2012-09-27,15,False
2012-09-28,42,False
2012-09-29,13,False
2012-09-30,6,False
2012-10-01,30,False
2012-10-02,20,False
2012-10-03,30,False
2012-10-04,100,False
2012-10-05,42,False
2012-10-06,19,False
2012-10-07,18,False
2012-10-08,10,False
2012-10-09,24,False
2012-10-10,44,False
2012-10-11,54,False
2012-10-12,31,False
2012-10-13,12,False
2012-10-14,18,False
2012-10-15,38,False
2012-10-16,38,False
2012-10-17,74,False
2012-10-18,58,False
2012-10-19,35,False
2012-10-20,25,False
2012-10-21,31,False
2012-10-22,34,False
2012-10-23,56,False
2012-10-24,28,False
2012-10-25,29,False
2012-10-26,70,False
2012-10-27,12,False
2012-10-28,58,False
2012-10-29,51,False
2012-10-30,62,False
2012-10-31,40,False
2012-11-01,52,False
2012-11-02,86,False
2012-11-03,6,False
2012-11-04,53,False
2012-11-05,91,False
2012-11-06,37,False
