date,hillary immigration,isPartial
2016-08-07,33,False
2016-08-08,27,False
2016-08-09,0,False
2016-08-10,0,False
2016-08-11,0,False
2016-08-12,29,False
2016-08-13,0,False
2016-08-14,32,False
2016-08-15,56,False
2016-08-16,0,False
2016-08-17,28,False
2016-08-18,43,False
2016-08-19,48,False
2016-08-20,33,False
2016-08-21,33,False
2016-08-22,42,False
2016-08-23,28,False
2016-08-24,67,False
2016-08-25,35,False
2016-08-26,26,False
2016-08-27,30,False
2016-08-28,30,False
2016-08-29,26,False
2016-08-30,25,False
2016-08-31,25,False
2016-09-01,93,False
2016-09-02,26,False
2016-09-03,0,False
2016-09-04,62,False
2016-09-05,29,False
2016-09-06,38,False
2016-09-07,58,False
2016-09-08,0,False
2016-09-09,25,False
2016-09-10,30,False
2016-09-11,29,False
2016-09-12,25,False
2016-09-13,25,False
2016-09-14,0,False
2016-09-15,25,False
2016-09-16,26,False
2016-09-17,0,False
2016-09-18,29,False
2016-09-19,0,False
2016-09-20,49,False
2016-09-21,0,False
2016-09-22,34,False
2016-09-23,26,False
2016-09-24,30,False
2016-09-25,44,False
2016-09-26,51,False
2016-09-27,37,False
2016-09-28,100,False
2016-09-29,50,False
2016-09-30,51,False
2016-10-01,30,False
2016-10-02,29,False
2016-10-03,25,False
2016-10-04,33,False
2016-10-05,37,False
2016-10-06,25,False
2016-10-07,25,False
2016-10-08,29,False
2016-10-09,29,False
2016-10-10,73,False
2016-10-11,59,False
2016-10-12,61,False
2016-10-13,0,False
2016-10-14,66,False
2016-10-15,29,False
2016-10-16,56,False
2016-10-17,49,False
2016-10-18,73,False
2016-10-19,61,False
2016-10-20,64,False
2016-10-21,49,False
2016-10-22,45,False
2016-10-23,43,False
2016-10-24,24,False
2016-10-25,54,False
2016-10-26,24,False
2016-10-27,24,False
2016-10-28,24,False
2016-10-29,29,False
2016-10-30,28,False
2016-10-31,37,False
2016-11-01,34,False
2016-11-02,96,False
2016-11-03,55,False
2016-11-04,67,False
2016-11-05,30,False
2016-11-06,29,False
2016-11-07,32,False
2016-11-08,83,False
