date,obama economy,isPartial
2012-08-06,0,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,0,False
2012-08-10,27,False
2012-08-11,0,False
2012-08-12,0,False
2012-08-13,27,False
2012-08-14,0,False
2012-08-15,0,False
2012-08-16,0,False
2012-08-17,0,False
2012-08-18,0,False
2012-08-19,36,False
2012-08-20,0,False
2012-08-21,0,False
2012-08-22,0,False
2012-08-23,0,False
2012-08-24,0,False
2012-08-25,0,False
2012-08-26,34,False
2012-08-27,0,False
2012-08-28,0,False
2012-08-29,0,False
2012-08-30,27,False
2012-08-31,0,False
2012-09-01,35,False
2012-09-02,0,False
2012-09-03,0,False
2012-09-04,0,False
2012-09-05,0,False
2012-09-06,25,False
2012-09-07,26,False
2012-09-08,31,False
2012-09-09,31,False
2012-09-10,25,False
2012-09-11,0,False
2012-09-12,0,False
2012-09-13,0,False
2012-09-14,25,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,0,False
2012-09-18,0,False
2012-09-19,0,False
2012-09-20,0,False
2012-09-21,0,False
2012-09-22,28,False
2012-09-23,0,False
2012-09-24,0,False
2012-09-25,0,False
2012-09-26,0,False
2012-09-27,0,False
2012-09-28,0,False
2012-09-29,100,False
2012-09-30,31,False
2012-10-01,24,False
2012-10-02,23,False
2012-10-03,0,False
2012-10-04,24,False
2012-10-05,0,False
2012-10-06,0,False
2012-10-07,0,False
2012-10-08,0,False
2012-10-09,0,False
2012-10-10,24,False
2012-10-11,0,False
2012-10-12,26,False
2012-10-13,0,False
2012-10-14,0,False
2012-10-15,0,False
2012-10-16,0,False
2012-10-17,24,False
2012-10-18,24,False
2012-10-19,25,False
2012-10-20,33,False
2012-10-21,0,False
2012-10-22,36,False
2012-10-23,24,False
2012-10-24,0,False
2012-10-25,48,False
2012-10-26,25,False
2012-10-27,32,False
2012-10-28,0,False
2012-10-29,22,False
2012-10-30,24,False
2012-10-31,24,False
2012-11-01,0,False
2012-11-02,0,False
2012-11-03,30,False
2012-11-04,29,False
2012-11-05,69,False
2012-11-06,0,False
