date,obama economy,isPartial
2012-08-06,32,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,32,False
2012-08-10,0,False
2012-08-11,0,False
2012-08-12,36,False
2012-08-13,0,False
2012-08-14,0,False
2012-08-15,0,False
2012-08-16,0,False
2012-08-17,0,False
2012-08-18,0,False
2012-08-19,0,False
2012-08-20,0,False
2012-08-21,0,False
2012-08-22,0,False
2012-08-23,27,False
2012-08-24,0,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,25,False
2012-08-28,30,False
2012-08-29,0,False
2012-08-30,33,False
2012-08-31,0,False
2012-09-01,39,False
2012-09-02,0,False
2012-09-03,0,False
2012-09-04,0,False
2012-09-05,31,False
2012-09-06,0,False
2012-09-07,33,False
2012-09-08,74,False
2012-09-09,0,False
2012-09-10,0,False
2012-09-11,0,False
2012-09-12,0,False
2012-09-13,100,False
2012-09-14,0,False
2012-09-15,39,False
2012-09-16,0,False
2012-09-17,0,False
2012-09-18,32,False
2012-09-19,32,False
2012-09-20,33,False
2012-09-21,70,False
2012-09-22,0,False
2012-09-23,0,False
2012-09-24,33,False
2012-09-25,33,False
2012-09-26,66,False
2012-09-27,0,False
2012-09-28,34,False
2012-09-29,39,False
2012-09-30,0,False
2012-10-01,32,False
2012-10-02,32,False
2012-10-03,0,False
2012-10-04,64,False
2012-10-05,33,False
2012-10-06,0,False
2012-10-07,37,False
2012-10-08,0,False
2012-10-09,31,False
2012-10-10,0,False
2012-10-11,0,False
2012-10-12,69,False
2012-10-13,0,False
2012-10-14,38,False
2012-10-15,47,False
2012-10-16,0,False
2012-10-17,32,False
2012-10-18,48,False
2012-10-19,34,False
2012-10-20,0,False
2012-10-21,39,False
2012-10-22,31,False
2012-10-23,61,False
2012-10-24,30,False
2012-10-25,0,False
2012-10-26,0,False
2012-10-27,76,False
2012-10-28,0,False
2012-10-29,31,False
2012-10-30,62,False
2012-10-31,0,False
2012-11-01,0,False
2012-11-02,33,False
2012-11-03,38,False
2012-11-04,73,False
2012-11-05,31,False
2012-11-06,88,False
