headlines,terms,dates
trump is pushing to eliminate payroll taxes. it could doom social security,trump,2020-06-03
trump launches defensive twitter spree as america grieves,trump,2020-06-03
opinion: trump's law and order message strikes a chord,trump,2020-06-03
"why trump has the fbi, ice and tsa patrolling washington streets",trump,2020-06-03
trump's ludicrous photo-op episode was no churchill moment,trump,2020-06-03
the long list of trump administration officials turned critics,trump,2020-06-04
why mattis' verdict on trump is devastating,trump,2020-06-04
cnn poll of polls finds biden leading trump,trump,2020-06-05
analysis: trump has walled himself off from america's conversation on racism,trump,2020-06-05
he quit facebook over zuckerberg's handling of trump posts. hear why - cnn,trump,2020-06-05
trump declares victory as us unemployment drops to 13.3%,trump,2020-06-05
flash bangs and fury: behind the fortress walls in a defining week for trump and the country,trump,2020-06-06
trump's most self-defeating move,trump,2020-06-07
watch and read: colin powell criticizes trump's response to protests in 'state of the union' interview,trump,2020-06-07
a visit to the site of a national tragedy is something a us president is often called to do. trump hasn't met with protesters or visited minneapolis,trump,2020-06-08
the elite military club that's scorning trump,trump,2020-06-08
cnn poll: trump losing ground to biden amid chaotic week,trump,2020-06-08
opinion: trump's tweet on injured 75-year-old shows there's no bottom,trump,2020-06-09
"trump jr.'s mongolian sheep hunting trip cost taxpayers about $75,000, documents show",trump,2020-06-09
nursing homes receive defective equipment as part of trump administration supply initiative,trump,2020-06-10
president trump announces plans for rally in tulsa next week,trump,2020-06-10
"5 things to know for june 10: police reform, trump, election, coronavirus, nigeria",trump,2020-06-10
trump weighs executive action on police reform ahead of dallas roundtable,trump,2020-06-10
trump tackles policing reform from administration still lacking diversity,trump,2020-06-10
the 75-year-old buffalo man seriously injured by police 'had a good chuckle' over trump's tweet,trump,2020-06-10
trump's va is treating veterans with unproven drug,trump,2020-06-10
trump heads to dallas for campaign fundraiser and roundtable,trump,2020-06-11
press secretary claims juneteenth is a 'meaningful day' to trump but others see racist play,trump,2020-06-11
fauci voices support for world health organization after trump terminates us relationship,trump,2020-06-11
seattle mayor tells trump to 'go back to your bunker' after he criticizes her handling of protests,trump,2020-06-11
trump drops 'socialism' tack and goes after 'defund the police',trump,2020-06-11
trump campaign says it can't be held liable if rally attendees contract coronavirus,trump,2020-06-11
pence deletes tweet showing trump campaign staff not wearing face masks or social distancing,trump,2020-06-11
trump says scheduling his next rally on juneteenth wasn't intentional,trump,2020-06-12
trump administration rolls back obama-era transgender health care protections,trump,2020-06-12
"what if the next donald trump is, well, donald trump?",trump,2020-06-12
"trump administration continues to expel most migrants at southern border, may data shows",trump,2020-06-12
trump reschedules tulsa rally 'out of respect' for juneteenth - cnn,trump,2020-06-13
trump is kicking the lgbtq community while we're down,trump,2020-06-13
the problem trump's west point speech can't fix,trump,2020-06-13
trump will address a socially distanced west point graduation saturday,trump,2020-06-13
the myth trump is modeling,trump,2020-06-14
"start your monday smart: flag day, refugees, solstice, juneteenth, trump's birthday",trump,2020-06-14
republicans urge trump not to terminate relationship with world health organization,trump,2020-06-15
why the donald trump-west point ramp story actually matters,trump,2020-06-15
"trump defends cautious walk down ramp, which raised questions about his health",trump,2020-06-15
tulsa health director wishes trump would postpone rally because of spike in covid-19 cases,trump,2020-06-15
trump expected to sign modest police reform order on tuesday,trump,2020-06-15
"no social distancing, masks optional: here is what trump's tulsa rally will look like",trump,2020-06-15
the remarkable idiocy of holding a trump rally in tulsa,trump,2020-06-15
trump isn't aging well,trump,2020-06-16
trump indicates he's not budging on reducing number of us troops in germany,trump,2020-06-16
opinion: what trump and congress can do now on policing,trump,2020-06-16
"police database, credentialing efforts included in modest trump order on policing",trump,2020-06-16
"police database, credentialing efforts included in modest trump order on policing",trump,2020-06-16
trump campaign exploring overflow venue for tulsa rally,trump,2020-06-16
tulsa's black residents grapple with the city's racist history and police brutality ahead of trump's rally,trump,2020-06-16
kamala harris: the fight continues to protect americans' health care from trump,trump,2020-06-17
the psychologist in the trump family speaks,trump,2020-06-17
trump's tulsa rally and biden's social distancing show differences in campaigning amid a pandemic,trump,2020-06-17
"donald trump, the stock market cheerleader-in-chief is back",trump,2020-06-17
john roberts defies trump and conservatives with another legacy decision,trump,2020-06-18
oklahoma coronavirus cases rise as trump rally moves forward,trump,2020-06-18
what happens next to the dreamers is on trump,trump,2020-06-18
trump and pence: a two-man covid-19 gaslighting act,trump,2020-06-18
from coronavirus cases to the nfl: fact-checking trump's dishonesty-filled day of interviews,trump,2020-06-18
how risky is it to attend a trump campaign rally during a pandemic?,trump,2020-06-19
