0,5
34,39
10,15
20,25
57,62
0,5
84,89
25,30
0,5
10,15
10,15
0,5
37,42
32,37
86,91
92,97
49,54
42,47
55,60
26,31
53,58
29,34
0,5
14,19
0,5
0,5
0,5
10,15
35,40
70,75
24,29
12,17
64,69
60,65
85,90
45,50
30,35
4,9
0,5
49,54
7,12
0,5
40,45
0,5
43,48
32,37
0,5
13,18
0,5
57,62
17,22
20,25
0,5
0,5
83,88
42,47
61,66
0,5
0,5
0,5
43,48
38,43
63,68
14,19
22,27
15,20
17,22
37,42
0,5
0,5
96,101
5,10
51,56
19,24
16,21
52,57
18,23
91,96
0,5
22,27
14,19
13,18
7,12
55,60
12,17
56,61
55,60
30,35
30,35
0,5
0,5
0,5
0,5
23,28
4,9
47,52
0,5
49,54
43,48
19,24
0,5
0,5
17,22
0,5
16,21
0,5
58,63
28,33
0,5
15,20
21,26
19,24
14,19
0,5
18,23
0,5
0,5
40,45
5,10
21,26
59,64
0,5
42,47
0,5
27,32
14,19
32,37
0,5
34,39
27,32
59,64
10,15
40,45
0,5
0,5
0,5
0,5
0,5
42,47
4,9
52,57
78,83
31,36
23,28
0,5
0,5
0,5
0,5
0,5
14,19
68,73
16,21
10,15
0,5
49,54
60,65
12,17
20,25
16,21
0,5
0,5
23,28
16,21
48,53
13,18
16,21
12,17
0,5
30,35
15,20
