,created_at,text,id,user_id,user_loc,user_followers,user_lang,user_time_zone,retweet_count,fav_count
0,Sat May 30 23:59:59 +0000 2020,RT @politvidchannel: BREAKING: Joe Biden is leading President Trump by 13 points in a new poll.,1266882078295154691,776814403194847232,Canada ,371,,,0,0
1,Sat May 30 23:59:59 +0000 2020,RT @MatthewEoghan: @sft_asu @JoeBiden Yeah Biden is so racist that he campaigned for and diligently worked under the first black president…,1266882076625850368,831200482655891456,,10,,,0,0
2,Sat May 30 23:59:59 +0000 2020,"RT @TimMurtaugh: .@JoeBiden’s staff is donating to a fund that pays bail for people rioting in Minneapolis.

This is CONDONING &amp; FINANCIALL…",1266882076474839041,1958899687,,41,,,0,0
3,Sat May 30 23:59:58 +0000 2020,"RT @TimMurtaugh: .@JoeBiden’s staff is donating to a fund that pays bail for people rioting in Minneapolis.

This is CONDONING &amp; FINANCIALL…",1266882075426160642,27473739,,633,,,0,0
4,Sat May 30 23:59:58 +0000 2020,RT @JohnWHuber: Does this mean Biden’s staff are paying the bail of Nazi’s and White Nationalists or nah? https://t.co/GJdZQUeK9b,1266882073861730315,827505879809454080,North Cackalacky,2795,,,0,0
5,Sat May 30 23:59:58 +0000 2020,"RT @TimMurtaugh: .@JoeBiden’s staff is donating to a fund that pays bail for people rioting in Minneapolis.

This is CONDONING &amp; FINANCIALL…",1266882073551306753,784189488532557824,"Venango,Ne",81,,,0,0
6,Sat May 30 23:59:58 +0000 2020,RT @biden_brigade: A group of white people  showed up in Oakland armed with hammers and started destroying shit as people of color looked o…,1266882073408700419,570859259,,1135,,,0,0
7,Sat May 30 23:59:58 +0000 2020,RT @donwinslow: Please be aware that a billion dollars is going to be spent in the next 150 days by Trump and his campaign to feed you bad…,1266882072972537862,706618136171323392,"Syracuse, NY",603,,,0,0
8,Sat May 30 23:59:58 +0000 2020,"@BetsyDeVosED Fuck you devos!!  You could care less about ALL kids, YOU DON'T DESERVE TO BE SECRETARY OF EDUCATION.… https://t.co/7RyUOM3xfH",1266882071617851393,873571854841257984,TAXACHUSETTS ,5,,,0,0
9,Sat May 30 23:59:58 +0000 2020,RT @politvidchannel: BREAKING: Joe Biden is leading President Trump by 13 points in a new poll.,1266882071567400963,1248759402,"Cape Cod, MA. 🐳",17275,,,0,0
10,Sat May 30 23:59:58 +0000 2020,RT @GregHowardJr1: Hillary Clinton warned us. The Obamas warned us. Joe Biden warned us. Literally EVERYONE warned us.,1266882071462645760,112022336,New Yorker My View Different,1916,,,0,0
