date,biden immigration,isPartial
2020-05-27,77,False
2020-05-28,0,False
2020-05-29,80,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,0,False
2020-06-02,0,False
2020-06-03,77,False
2020-06-04,76,False
2020-06-05,0,False
2020-06-06,92,False
2020-06-07,95,False
2020-06-08,79,False
2020-06-09,0,False
2020-06-10,81,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,95,False
2020-06-14,99,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,0,False
2020-06-19,0,False
2020-06-20,0,False
2020-06-21,100,False
2020-06-22,86,False
2020-06-23,0,False
2020-06-24,0,False
2020-06-25,0,False
2020-06-26,86,False
2020-06-27,99,False
2020-06-28,97,False
2020-06-29,86,False
2020-06-30,0,False
