date,obama immigration,isPartial
2012-08-06,43,False
2012-08-07,43,False
2012-08-08,44,False
2012-08-09,44,False
2012-08-10,0,False
2012-08-11,51,False
2012-08-12,0,False
2012-08-13,43,False
2012-08-14,82,False
2012-08-15,62,False
2012-08-16,84,False
2012-08-17,0,False
2012-08-18,0,False
2012-08-19,0,False
2012-08-20,42,False
2012-08-21,42,False
2012-08-22,0,False
2012-08-23,44,False
2012-08-24,44,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,41,False
2012-08-28,0,False
2012-08-29,0,False
2012-08-30,0,False
2012-08-31,0,False
2012-09-01,100,False
2012-09-02,0,False
2012-09-03,0,False
2012-09-04,0,False
2012-09-05,0,False
2012-09-06,0,False
2012-09-07,43,False
2012-09-08,49,False
2012-09-09,0,False
2012-09-10,41,False
2012-09-11,41,False
2012-09-12,41,False
2012-09-13,0,False
2012-09-14,0,False
2012-09-15,50,False
2012-09-16,0,False
2012-09-17,0,False
2012-09-18,35,False
2012-09-19,34,False
2012-09-20,0,False
2012-09-21,0,False
2012-09-22,38,False
2012-09-23,38,False
2012-09-24,0,False
2012-09-25,39,False
2012-09-26,0,False
2012-09-27,0,False
2012-09-28,43,False
2012-09-29,50,False
2012-09-30,0,False
2012-10-01,0,False
2012-10-02,79,False
2012-10-03,0,False
2012-10-04,40,False
2012-10-05,0,False
2012-10-06,0,False
2012-10-07,0,False
2012-10-08,0,False
2012-10-09,39,False
2012-10-10,0,False
2012-10-11,0,False
2012-10-12,0,False
2012-10-13,0,False
2012-10-14,48,False
2012-10-15,40,False
2012-10-16,0,False
2012-10-17,43,False
2012-10-18,42,False
2012-10-19,44,False
2012-10-20,0,False
2012-10-21,0,False
2012-10-22,63,False
2012-10-23,0,False
2012-10-24,45,False
2012-10-25,46,False
2012-10-26,0,False
2012-10-27,57,False
2012-10-28,54,False
2012-10-29,0,False
2012-10-30,42,False
2012-10-31,0,False
2012-11-01,0,False
2012-11-02,44,False
2012-11-03,0,False
2012-11-04,0,False
2012-11-05,0,False
2012-11-06,38,False
