date,biden
2020-04-11,51
2020-04-12,43
2020-04-13,70
2020-04-14,73
2020-04-15,70
2020-04-16,38
2020-04-17,42
2020-04-18,48
2020-04-19,51
2020-04-20,24
2020-04-21,40
2020-04-22,35
2020-04-23,42
2020-04-24,40
2020-04-25,41
2020-04-26,74
2020-04-27,36
2020-04-28,61
2020-04-29,58
2020-04-30,62
2020-05-01,79
2020-05-02,68
2020-05-03,47
2020-05-04,33
2020-05-05,36
2020-05-06,18
2020-05-07,25
2020-05-08,31
2020-05-09,24
2020-05-10,12
2020-05-11,27
2020-05-12,39
2020-05-13,45
2020-05-14,40
2020-05-15,53
2020-05-16,47
2020-05-17,34
2020-05-18,27
2020-05-19,26
2020-05-20,32
2020-05-21,43
2020-05-22,98
2020-05-23,100
2020-05-24,67
2020-05-25,52
2020-05-26,61
2020-05-27,47
2020-05-28,50
2020-05-29,44
2020-05-30,49
2020-05-31,51
2020-06-01,21
2020-06-02,54
2020-06-03,52
2020-06-04,37
2020-06-05,37
2020-06-06,58
2020-06-07,46
2020-06-08,58
2020-06-09,39
2020-06-10,29
2020-06-11,40
2020-06-12,29
2020-06-13,50
2020-06-14,62
2020-06-15,46
2020-06-16,47
2020-06-17,42
2020-06-18,37
2020-06-19,49
2020-06-20,60
2020-06-21,78
2020-06-22,63
2020-06-23,62
2020-06-24,53
2020-06-25,85
2020-06-26,94
2020-06-27,63
2020-06-28,56
2020-06-29,58
2020-06-30,72
2020-07-01,67
2020-07-02,53
2020-07-03,66
2020-07-04,68
2020-07-05,54
2020-07-06,52
2020-07-07,48
2020-07-08,45
2020-07-09,69
2020-07-10,71
2020-07-11,77
