date,vote biden,isPartial
2020-04-11,70,False
2020-04-12,0,False
2020-04-13,39,False
2020-04-14,39,False
2020-04-15,0,False
2020-04-16,39,False
2020-04-17,0,False
2020-04-18,0,False
2020-04-19,0,False
2020-04-20,0,False
2020-04-21,0,False
2020-04-22,0,False
2020-04-23,0,False
2020-04-24,0,False
2020-04-25,0,False
2020-04-26,0,False
2020-04-27,39,False
2020-04-28,0,False
2020-04-29,40,False
2020-04-30,71,False
2020-05-01,39,False
2020-05-02,0,False
2020-05-03,0,False
2020-05-04,0,False
2020-05-05,0,False
2020-05-06,0,False
2020-05-07,40,False
2020-05-08,39,False
2020-05-09,0,False
2020-05-10,0,False
2020-05-11,0,False
2020-05-12,0,False
2020-05-13,0,False
2020-05-14,0,False
2020-05-15,0,False
2020-05-16,0,False
2020-05-17,0,False
2020-05-18,0,False
2020-05-19,0,False
2020-05-20,38,False
2020-05-21,0,False
2020-05-22,61,False
2020-05-23,72,False
2020-05-24,49,False
2020-05-25,46,False
2020-05-26,80,False
2020-05-27,39,False
2020-05-28,38,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,48,False
2020-06-01,0,False
2020-06-02,41,False
2020-06-03,78,False
2020-06-04,37,False
2020-06-05,0,False
2020-06-06,45,False
2020-06-07,0,False
2020-06-08,38,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,0,False
2020-06-12,42,False
2020-06-13,50,False
2020-06-14,0,False
2020-06-15,41,False
2020-06-16,0,False
2020-06-17,81,False
2020-06-18,82,False
2020-06-19,0,False
2020-06-20,48,False
2020-06-21,100,False
2020-06-22,63,False
2020-06-23,82,False
2020-06-24,0,False
2020-06-25,42,False
2020-06-26,0,False
2020-06-27,0,False
2020-06-28,0,False
2020-06-29,0,False
2020-06-30,43,False
2020-07-01,0,False
2020-07-02,0,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,0,False
2020-07-06,0,False
2020-07-07,0,False
2020-07-08,0,False
2020-07-09,0,False
2020-07-10,44,False
2020-07-11,0,False
