date,vote biden,isPartial
2020-04-11,25,False
2020-04-12,0,False
2020-04-13,21,False
2020-04-14,21,False
2020-04-15,0,False
2020-04-16,21,False
2020-04-17,20,False
2020-04-18,0,False
2020-04-19,0,False
2020-04-20,0,False
2020-04-21,0,False
2020-04-22,20,False
2020-04-23,19,False
2020-04-24,20,False
2020-04-25,0,False
2020-04-26,0,False
2020-04-27,0,False
2020-04-28,0,False
2020-04-29,39,False
2020-04-30,0,False
2020-05-01,20,False
2020-05-02,0,False
2020-05-03,0,False
2020-05-04,0,False
2020-05-05,0,False
2020-05-06,20,False
2020-05-07,0,False
2020-05-08,0,False
2020-05-09,24,False
2020-05-10,0,False
2020-05-11,0,False
2020-05-12,0,False
2020-05-13,0,False
2020-05-14,0,False
2020-05-15,20,False
2020-05-16,0,False
2020-05-17,0,False
2020-05-18,0,False
2020-05-19,0,False
2020-05-20,0,False
2020-05-21,21,False
2020-05-22,32,False
2020-05-23,100,False
2020-05-24,26,False
2020-05-25,25,False
2020-05-26,0,False
2020-05-27,22,False
2020-05-28,22,False
2020-05-29,22,False
2020-05-30,0,False
2020-05-31,25,False
2020-06-01,0,False
2020-06-02,46,False
2020-06-03,22,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,51,False
2020-06-07,0,False
2020-06-08,21,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,0,False
2020-06-12,0,False
2020-06-13,0,False
2020-06-14,0,False
2020-06-15,23,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,0,False
2020-06-19,24,False
2020-06-20,0,False
2020-06-21,26,False
2020-06-22,0,False
2020-06-23,23,False
2020-06-24,24,False
2020-06-25,0,False
2020-06-26,0,False
2020-06-27,0,False
2020-06-28,26,False
2020-06-29,0,False
2020-06-30,24,False
2020-07-01,24,False
2020-07-02,24,False
2020-07-03,0,False
2020-07-04,29,False
2020-07-05,57,False
2020-07-06,0,False
2020-07-07,25,False
2020-07-08,0,False
2020-07-09,51,False
2020-07-10,0,False
2020-07-11,0,False
