FIPS,ID,area_name,Unemployment_Rate
1001,20001001,"Autauga County, AL",4
1003,20001003,"Baldwin County, AL",3.7
1005,20001005,"Barbour County, AL",5.5
1007,20001007,"Bibb County, AL",5.3
1009,20001009,"Blount County, AL",3.5
1011,20001011,"Bullock County, AL",8.5
1013,20001013,"Butler County, AL",7.8
1015,20001015,"Calhoun County, AL",5.1
1017,20001017,"Chambers County, AL",4.4
1019,20001019,"Cherokee County, AL",4.5
1021,20001021,"Chilton County, AL",4.3
1023,20001023,"Choctaw County, AL",6.5
1025,20001025,"Clarke County, AL",7.3
1027,20001027,"Clay County, AL",6.1
1029,20001029,"Cleburne County, AL",4.1
1031,20001031,"Coffee County, AL",5.8
1033,20001033,"Colbert County, AL",5.5
1035,20001035,"Conecuh County, AL",6.5
1037,20001037,"Coosa County, AL",5.4
1039,20001039,"Covington County, AL",6.9
1041,20001041,"Crenshaw County, AL",5.7
1043,20001043,"Cullman County, AL",4.1
1045,20001045,"Dale County, AL",5.2
1047,20001047,"Dallas County, AL",8
1049,20001049,"DeKalb County, AL",4
1051,20001051,"Elmore County, AL",4
1053,20001053,"Escambia County, AL",5.2
1055,20001055,"Etowah County, AL",5.8
1057,20001057,"Fayette County, AL",5.8
1059,20001059,"Franklin County, AL",6.5
1061,20001061,"Geneva County, AL",5.1
1063,20001063,"Greene County, AL",6.8
1065,20001065,"Hale County, AL",6
1067,20001067,"Henry County, AL",4.9
1069,20001069,"Houston County, AL",4.4
1071,20001071,"Jackson County, AL",5.2
1073,20001073,"Jefferson County, AL",4
1075,20001075,"Lamar County, AL",6.9
1077,20001077,"Lauderdale County, AL",5
1079,20001079,"Lawrence County, AL",5
1081,20001081,"Lee County, AL",4
1083,20001083,"Limestone County, AL",3.8
1085,20001085,"Lowndes County, AL",6.9
1087,20001087,"Macon County, AL",5.8
1089,20001089,"Madison County, AL",3.5
1091,20001091,"Marengo County, AL",5.2
1093,20001093,"Marion County, AL",6.7
1095,20001095,"Marshall County, AL",4.8
1097,20001097,"Mobile County, AL",4.9
1099,20001099,"Monroe County, AL",6.4
1101,20001101,"Montgomery County, AL",4.2
1103,20001103,"Morgan County, AL",4.2
1105,20001105,"Perry County, AL",9.2
1107,20001107,"Pickens County, AL",7.5
1109,20001109,"Pike County, AL",5.5
1111,20001111,"Randolph County, AL",4.8
1113,20001113,"Russell County, AL",4.6
1115,20001115,"St. Clair County, AL",3.7
1117,20001117,"Shelby County, AL",2.7
1119,20001119,"Sumter County, AL",9.1
1121,20001121,"Talladega County, AL",5.2
1123,20001123,"Tallapoosa County, AL",4.9
1125,20001125,"Tuscaloosa County, AL",3.9
1127,20001127,"Walker County, AL",5.8
1129,20001129,"Washington County, AL",6.8
1131,20001131,"Wilcox County, AL",8.7
1133,20001133,"Winston County, AL",7.8
2013,20002013,"Aleutians East Borough, AK",8.7
2016,20002016,"Aleutians West Census Area, AK",5.2
2020,20002020,"Anchorage Borough/municipality, AK",5.1
2050,20002050,"Bethel Census Area, AK",9
2060,20002060,"Bristol Bay Borough, AK",6.4
2068,20002068,"Denali Borough, AK",7.3
2070,20002070,"Dillingham Census Area, AK",7.4
2090,20002090,"Fairbanks North Star Borough, AK",6.2
2100,20002100,"Haines Borough, AK",8.1
2105,20002105,"Hoonah-Angoon Census Area, AK",
2110,20002110,"Juneau Borough/city, AK",4.7
2122,20002122,"Kenai Peninsula Borough, AK",8.3
2130,20002130,"Ketchikan Gateway Borough, AK",6.3
2150,20002150,"Kodiak Island Borough, AK",8.4
2158,20002158,"Kusilvak Census Area, AK",15.3
2164,20002164,"Lake and Peninsula Borough, AK",5.2
2170,20002170,"Matanuska-Susitna Borough, AK",7.3
2180,20002180,"Nome Census Area, AK",9.7
2185,20002185,"North Slope Borough, AK",8.5
2188,20002188,"Northwest Arctic Borough, AK",9.1
2195,20002195,"Petersburg Borough, AK",
2198,20002198,"Prince of Wales-Hyder Census Area, AK",
2201,20002201,"Prince of Wales-Outer Ketchikan Census Area, AK",14.3
2220,20002220,"Sitka Borough/city, AK",4.8
2230,20002230,"Skagway Municipality, AK",
2232,20002232,"Skagway-Hoonah-Angoon Census Area, AK",9.9
2240,20002240,"Southeast Fairbanks Census Area, AK",12.4
2261,20002261,"Valdez-Cordova Census Area, AK",7.7
2275,20002275,"Wrangell Borough/city, AK",
2280,20002280,"Wrangell-Petersburg Census Area, AK",9.8
2282,20002282,"Yakutat Borough/city, AK",7
2290,20002290,"Yukon-Koyukuk Census Area, AK",11.6
4001,20004001,"Apache County, AZ",9
4003,20004003,"Cochise County, AZ",4.5
4005,20004005,"Coconino County, AZ",4.4
4007,20004007,"Gila County, AZ",5.2
4009,20004009,"Graham County, AZ",5.4
4011,20004011,"Greenlee County, AZ",4.2
4012,20004012,"La Paz County, AZ",6.3
4013,20004013,"Maricopa County, AZ",3.2
