date,trump job,isPartial
2020-05-27,46,False
2020-05-28,46,False
2020-05-29,0,False
2020-05-30,55,False
2020-05-31,0,False
2020-06-01,48,False
2020-06-02,48,False
2020-06-03,0,False
2020-06-04,89,False
2020-06-05,45,False
2020-06-06,81,False
2020-06-07,0,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,47,False
2020-06-12,51,False
2020-06-13,0,False
2020-06-14,0,False
2020-06-15,0,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,49,False
2020-06-19,0,False
2020-06-20,57,False
2020-06-21,0,False
2020-06-22,100,False
2020-06-23,49,False
2020-06-24,0,False
2020-06-25,0,False
2020-06-26,53,False
2020-06-27,0,False
2020-06-28,57,False
2020-06-29,0,False
2020-06-30,0,False
2020-07-01,0,False
2020-07-02,0,False
2020-07-03,57,False
2020-07-04,63,False
2020-07-05,62,False
2020-07-06,0,False
2020-07-07,0,False
2020-07-08,0,False
2020-07-09,0,False
2020-07-10,0,False
2020-07-11,0,False
